Exemplar_Size,Method,Task 2,Task 3,Task 4,Task 5
100,Random,0.9986911071376042,0.9988966535371158,0.9984574052359328,0.9994888601423622
393,Random,0.9955919999548325,0.9938486006687103,0.9926951058586373,0.9972811957102486
1547,Random,0.9921822164163825,0.9887832079963456,0.9840294774335187,0.992154837715524
6085,Random,0.9922091922929674,0.9869954510395285,0.9801450313411826,0.9885091784217993
215,Random,0.9966526226039297,0.9953048205327005,0.9941471160121782,0.9982749574555586
100,EWC_Replay,0.9989642904883123,0.9988332222481319,0.9984064039967814,0.999529461490121
393,EWC_Replay,0.9961499535337826,0.994011774238498,0.9921646659842158,0.9967335167746568
1547,EWC_Replay,0.9929160216664921,0.9898600331512061,0.9851100950576767,0.9930658926872904
6085,EWC_Replay,0.9899119325892974,0.988320378966294,0.9803466243101513,0.9888316888387507
215,EWC_Replay,0.9967330620367322,0.9958676562010786,0.9929774743180041,0.9981216764451365
100,iCaRL,0.9975583484413977,0.9963208994510905,0.9949700614467013,0.991985041046279
393,iCaRL,0.9944169720661017,0.9919101737346533,0.9787304116872438,0.993280250972325
1547,iCaRL,0.9917620722773663,0.9818813655536337,0.9841298908957666,0.9905009062452036
6085,iCaRL,0.990367616360945,0.9745068351930822,0.9829296739165788,0.982751199350799
215,iCaRL,0.9945280175346289,0.9926743712747933,0.9862509992268738,0.9909934288591576
100,LUCIR,0.9977113266691444,0.9991339881263885,0.9985224281743491,0.9995305468926515
393,LUCIR,0.9975192069335702,0.9975635950147506,0.9976696619900631,0.9987403510763587
1547,LUCIR,0.9944715926685959,0.996063751427912,0.9930422509869443,0.995813097408758
6085,LUCIR,0.9933926653518396,0.9914424850604519,0.9876338391457355,0.990105307630439
215,LUCIR,0.9977377880809521,0.9963604074811995,0.9971962053775382,0.9993511625137941
100,VAE_BBox,0.9998252402136454,0.9997837979957326,0.9995751187212084,0.9997964851932718
393,VAE_BBox,0.9998252402136454,0.9997837979957326,0.9995751187212084,0.9997964851932718
1547,VAE_BBox,0.9998252402136454,0.9997837979957326,0.9995751187212084,0.9997964851932718
6085,VAE_BBox,0.9998252402136454,0.9997837979957326,0.9995751187212084,0.9997964851932718
215,VAE_BBox,0.9998252402136454,0.9997837979957326,0.9995751187212084,0.9997964851932718
100,VAE_Filter,0.9997147693818894,0.9997777777777778,0.9994871794871795,0.9997762565176028
393,VAE_Filter,0.9997147693818894,0.9997777777777778,0.9994871794871795,0.9997762565176028
1547,VAE_Filter,0.9997147693818894,0.9997777777777778,0.9994871794871795,0.9997762565176028
6085,VAE_Filter,0.9997147693818894,0.9997777777777778,0.9994871794871795,0.9997762565176028
215,VAE_Filter,0.9997147693818894,0.9997777777777778,0.9994871794871795,0.9997762565176028
100,VAE_GMM,0.9998958428136597,0.9998937664114984,0.9994205080876281,0.9998879551820729
393,VAE_GMM,0.9998958428136597,0.9998937664114984,0.9994205080876281,0.9998879551820729
1547,VAE_GMM,0.9998958428136597,0.9998937664114984,0.9994205080876281,0.9998879551820729
6085,VAE_GMM,0.9998958428136597,0.9998937664114984,0.9994205080876281,0.9998879551820729
215,VAE_GMM,0.9998958428136597,0.9998937664114984,0.9994205080876281,0.9998879551820729
