Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
100,0.9972768532526475,0.45496688741721847,0.3557805907172996,0.20806223479490807,0.28765505020673354,EWC_Replay
100,1.0,0.5649289099526066,0.32525629077353213,0.2412721893491124,0.28919078558771405,EWC_Replay
100,0.9988549618320611,0.43611457036114565,0.40320569902048087,0.33756830601092896,0.16396928529238036,EWC_Replay
100,0.9996774193548387,0.5684093437152391,0.24807692307692303,0.17829570284049523,0.20141760189013583,EWC_Replay
100,1.0,0.43314794215795327,0.24432624113475176,0.19592134013109974,0.1959834613112817,EWC_Replay
100,0.999697428139183,0.628936170212766,0.25113924050632913,0.18161244695898157,0.20106320141760184,EWC_Replay
100,0.9996774193548387,0.31213191990577144,0.3054964539007092,0.18281136198106335,0.19019492025989362,EWC_Replay
100,0.9996774193548387,0.3726737338044758,0.3678357570573139,0.21725601131541722,0.20141760189013583,EWC_Replay
100,0.9992714025500911,0.5276404494382022,0.2579735682819383,0.3749646393210749,0.3103366804489073,EWC_Replay
100,0.987372013651877,0.4154525386313465,0.28860759493670884,0.18712871287128707,0.2981689308919078,EWC_Replay
100,0.9987897125567322,0.4595505617977528,0.31548331907613336,0.369889502762431,0.1857058476077968,EWC_Replay
100,0.9983305509181971,0.48446808510638295,0.48613617719442165,0.1849447513812154,0.17070289427052565,EWC_Replay
100,0.9996062992125985,0.39362549800796814,0.31053122087604845,0.3132956152758133,0.2315416420555227,EWC_Replay
100,0.9992366412213741,0.4981320049813201,0.3756993006993007,0.19024034959941732,0.196574128765505,EWC_Replay
100,0.9853242320819111,0.44988962472406185,0.5490295358649788,0.23677510608203675,0.3119905493207324,EWC_Replay
100,0.9993322203672788,0.48170212765957443,0.2540084388185654,0.3566939890710382,0.14365032486709978,EWC_Replay
100,0.9985428051001822,0.5415458937198068,0.4549232158988256,0.32513812154696126,0.16125221500295328,EWC_Replay
100,0.9993322203672788,0.5314350797266514,0.2805781391147245,0.30497237569060776,0.19681039574719428,EWC_Replay
100,1.0,0.37965317919075137,0.2738574040219378,0.28929351784413687,0.2674542232722977,EWC_Replay
100,0.9984732824427482,0.46824408468244083,0.24612403100775193,0.24275147928994073,0.2240992321323095,EWC_Replay
100,1.0,0.40398406374501994,0.36617915904936005,0.27369165487977365,0.22197282929710566,EWC_Replay
100,0.9984871406959153,0.45510638297872336,0.4526661197703035,0.1661602209944751,0.15073833431777905,EWC_Replay
100,0.999646017699115,0.5428909952606634,0.25610438024231125,0.371301775147929,0.27572356763142347,EWC_Replay
100,0.9993548387096775,0.3791489361702128,0.3178059071729957,0.21386138613861377,0.17991730655640872,EWC_Replay
100,0.9993548387096775,0.364393063583815,0.2402193784277879,0.25418790968681715,0.2180744240992321,EWC_Replay
100,0.9891228070175438,0.38699386503067484,0.37458866544789754,0.3278642149929278,0.32782043709391606,EWC_Replay
100,1.0,0.43006833712984055,0.2746215494211932,0.20325443786982245,0.22799763733018308,EWC_Replay
100,0.999646017699115,0.4860927152317881,0.4369620253164556,0.22814710042432812,0.20826934435912578,EWC_Replay
100,0.9996062992125984,0.42729468599033815,0.4590785907859078,0.3042817679558011,0.16893089190785587,EWC_Replay
100,0.9979966611018364,0.3661137440758294,0.255358807082945,0.28565088757396445,0.27052569403425875,EWC_Replay
390,0.9993948562783661,0.5589403973509934,0.30008438818565397,0.27637906647807636,0.318960425280567,EWC_Replay
390,1.0,0.5727488151658768,0.30866728797763276,0.3735207100591716,0.3045481393975192,EWC_Replay
390,1.0,0.5897882938978829,0.4596616206589491,0.3599726775956284,0.17412876550502066,EWC_Replay
390,0.9996774193548387,0.5392658509454951,0.29737762237762233,0.22286962855061904,0.24099232132309503,EWC_Replay
390,0.9996774193548387,0.5490545050055617,0.2533687943262411,0.2933721777130371,0.2623744831659775,EWC_Replay
390,0.9981845688350983,0.6336170212765958,0.3645569620253164,0.21428571428571425,0.2786769049025398,EWC_Replay
390,0.9996774193548387,0.4730270906949352,0.33102836879432623,0.3139111434814275,0.23532191376255165,EWC_Replay
390,0.9996774193548387,0.44028268551236743,0.38443113772455084,0.3338048090523338,0.28989958653278197,EWC_Replay
390,0.9992714025500911,0.5582022471910112,0.3637004405286343,0.3811881188118812,0.24016538688718253,EWC_Replay
390,0.9853242320819111,0.4688741721854305,0.5088607594936708,0.31018387553041016,0.31458948611931475,EWC_Replay
390,0.998487140695915,0.5892134831460674,0.3984602224123182,0.38135359116022094,0.2497341996455995,EWC_Replay
390,0.9996661101836395,0.5461702127659573,0.4623461853978671,0.26533149171270715,0.2185469580626107,EWC_Replay
390,0.9988188976377954,0.4733067729083665,0.371668219944082,0.39618104667609616,0.2529238038984052,EWC_Replay
390,0.9980916030534353,0.6610211706102118,0.4372377622377622,0.21660597232337944,0.24111045481393972,EWC_Replay
390,0.9887372013651877,0.4331125827814569,0.5488607594936709,0.25898161244695894,0.29178972238629647,EWC_Replay
390,0.9996661101836395,0.5438297872340426,0.3367088607594937,0.38456284153005466,0.15251033668044886,EWC_Replay
390,0.9992714025500911,0.4811594202898551,0.4827461607949412,0.41146408839779003,0.23662138216184286,EWC_Replay
390,1.0,0.533257403189066,0.25582655826558265,0.279696132596685,0.1853514471352628,EWC_Replay
390,1.0,0.4642774566473989,0.27989031078610604,0.36504005826656954,0.29379799173065557,EWC_Replay
390,0.9992366412213741,0.5571606475716064,0.4622093023255814,0.38357988165680473,0.33904311872415827,EWC_Replay
390,0.999618320610687,0.44594953519256303,0.37623400365630716,0.29207920792079206,0.29143532191376254,EWC_Replay
390,0.9993948562783661,0.6091489361702128,0.5040196882690731,0.22458563535911602,0.21216774955699935,EWC_Replay
390,0.999646017699115,0.6817535545023696,0.3302889095992544,0.4025147928994082,0.28824571766095686,EWC_Replay
390,0.9996774193548387,0.6131914893617021,0.33873417721518984,0.248090523338048,0.29887773183697575,EWC_Replay
390,0.9993548387096775,0.44000000000000006,0.27239488117001825,0.34391842680262197,0.24784406379208504,EWC_Replay
390,0.992280701754386,0.44024539877300606,0.3956124314442413,0.3355021216407355,0.322031896042528,EWC_Replay
390,0.9996415770609319,0.5915717539863325,0.25770258236865534,0.20399408284023662,0.27678676904902544,EWC_Replay
390,0.9992920353982301,0.5671081677704194,0.49873417721518987,0.21230551626591226,0.26757235676314234,EWC_Replay
390,0.9988188976377952,0.49975845410628017,0.5541102077687443,0.3632596685082873,0.27926757235676314,EWC_Replay
390,0.9983305509181971,0.44739336492890996,0.31239515377446403,0.3437869822485207,0.29698759598346125,EWC_Replay
1520,0.9987897125567322,0.6015452538631345,0.35476793248945143,0.36534653465346534,0.2824571766095688,EWC_Replay
1520,1.0,0.6106635071090047,0.419757688723206,0.3766272189349112,0.3776727702303603,EWC_Replay
1520,0.9984732824427482,0.6749688667496886,0.44772929652715937,0.37363387978142076,0.1971647962197283,EWC_Replay
1520,1.0,0.6589543937708566,0.25734265734265727,0.2265112891478514,0.26414648552864733,EWC_Replay
1520,0.9993548387096775,0.5557285873192436,0.4732269503546099,0.31653313911143477,0.26816302421736554,EWC_Replay
1520,0.9990922844175492,0.6553191489361703,0.43594936708860754,0.2718528995756718,0.28044890726520966,EWC_Replay
1520,1.0,0.5371024734982333,0.4186170212765957,0.40568099053168244,0.23839338452451267,EWC_Replay
1520,0.9996774193548387,0.31849234393404,0.469803250641574,0.32800565770862794,0.322740696987596,EWC_Replay
1520,0.9989071038251366,0.6822471910112359,0.41638766519823783,0.3785007072135785,0.30100413467217957,EWC_Replay
1520,0.9849829351535835,0.4459161147902869,0.4580590717299578,0.3093352192362093,0.3099822799763733,EWC_Replay
1520,0.9993948562783661,0.4487640449438202,0.45166809238665523,0.35,0.3017129356172475,EWC_Replay
1520,0.9993322203672788,0.5297872340425531,0.5013945857260049,0.2517955801104972,0.25776727702303603,EWC_Replay
1520,0.9996062992125984,0.600796812749004,0.4160298229263747,0.4366336633663366,0.31919669226225633,EWC_Replay
1520,0.999618320610687,0.6400996264009964,0.43024475524475525,0.230298616168973,0.29415239220318956,EWC_Replay
1520,0.9918088737201366,0.4490066225165563,0.5594936708860759,0.2915134370579915,0.2654459539279385,EWC_Replay
1520,0.9993322203672788,0.6036170212765957,0.39881856540084387,0.3644808743169399,0.16266981689308913,EWC_Replay
1520,0.9981785063752276,0.6601449275362319,0.5347786811201445,0.40732044198895023,0.2591848789131718,EWC_Replay
1520,0.9996661101836395,0.5936218678815489,0.29846431797651307,0.344060773480663,0.26828115770821026,EWC_Replay
1520,1.0,0.6328323699421966,0.3740402193784278,0.3182811361981063,0.3049025398700531,EWC_Replay
1520,0.999618320610687,0.6617683686176836,0.24476744186046512,0.4022189349112426,0.30112226816302423,EWC_Replay
1520,0.9992366412213741,0.4486055776892431,0.41279707495429613,0.3224893917963224,0.2824571766095688,EWC_Replay
1520,0.9990922844175492,0.7048936170212766,0.5117309269893355,0.20220994475138115,0.2441819255759008,EWC_Replay
1520,0.999646017699115,0.6720379146919432,0.3983224603914259,0.38772189349112424,0.30112226816302423,EWC_Replay
1520,0.9993548387096775,0.5051063829787233,0.489451476793249,0.24738330975954734,0.267690490253987,EWC_Replay
1520,0.9996774193548387,0.6575722543352602,0.33382084095063974,0.3271667880553532,0.33656231541642045,EWC_Replay
1520,0.9884210526315789,0.5715337423312883,0.43053016453382076,0.4308345120226308,0.3773183697578263,EWC_Replay
1520,0.9996415770609319,0.40455580865603646,0.3891362422083704,0.2822485207100592,0.25552274069698755,EWC_Replay
1520,0.9992920353982301,0.6841059602649008,0.410464135021097,0.3428571428571428,0.2637920850561134,EWC_Replay
1520,0.998031496062992,0.5983091787439614,0.4805781391147244,0.450828729281768,0.2943886591848789,EWC_Replay
1520,0.9989983305509181,0.5751184834123223,0.4559179869524696,0.3242603550295858,0.3781453041937389,EWC_Replay
5928,0.9993948562783661,0.46887417218543037,0.48962025316455693,0.307072135785007,0.30005906674542226,EWC_Replay
