Exemplar_Size,Method,Task 2,Task 3,Task 4,Task 5
100,Random,0.24870645017816187,0.1497070166433453,0.08641895422467558,0.06315376830136946
390,Random,0.338359254525969,0.19722779363951828,0.14614385382413378,0.11356187255931387
1520,Random,0.3701578849415717,0.2462978719764646,0.16947989283421735,0.13896886310362888
5928,Random,0.3667836150972967,0.25607622841034233,0.17202462837874913,0.16695998000171033
215,Random,0.299094943398309,0.16315775002481425,0.11578338221799668,0.10194625754104543
100,EWC_Replay,0.1936861371594823,0.12973015261908394,0.08158383115831992,0.06384132992538033
390,EWC_Replay,0.31107521548176215,0.19339432867636158,0.15112466718268422,0.11333523053737161
1520,EWC_Replay,0.38047324407043803,0.24628609377090188,0.17957290351103766,0.14093604388128997
5928,EWC_Replay,0.3965795720929997,0.2543159836954349,0.18708530760561876,0.16152377533416812
215,EWC_Replay,0.2639046369678205,0.15988876204095528,0.11277176562715847,0.09219364077012639
100,iCaRL,0.3219928738623468,0.17589878479942897,0.12881818163206424,0.12028657424643559
390,iCaRL,0.3856369226252535,0.2296837124813315,0.17644658184128856,0.15699766158291892
1520,iCaRL,0.4234086602314781,0.2695966054642078,0.17813200426071468,0.1641695171180688
5928,iCaRL,0.41407255418274314,0.2832198921403128,0.201914039622132,0.1642881604281624
215,iCaRL,0.35211269178285143,0.19170539928566752,0.14549639933237069,0.14287846414112185
100,LUCIR,0.31101616010063027,0.17814846073153742,0.1348334171733358,0.12007043624682548
390,LUCIR,0.3665215663603976,0.24421866518777768,0.16637759799874322,0.14579383776061808
1520,LUCIR,0.42139841211086193,0.25349062210798784,0.19669119512248967,0.1496135343578521
5928,LUCIR,0.42212666594466275,0.2893650109191597,0.23045941366363124,0.17853385499257832
215,LUCIR,0.3659822271715957,0.212130553289338,0.14873114540937096,0.12313825612023876
100,VAE_BBox,0.9167007918241725,0.5322011754588153,0.3282398396674845,0.2776186951135107
390,VAE_BBox,0.9167007918241725,0.5322011754588153,0.3282398396674845,0.2776186951135107
1520,VAE_BBox,0.9167007918241725,0.5322011754588153,0.3282398396674845,0.2776186951135107
5928,VAE_BBox,0.9167007918241725,0.5322011754588153,0.3282398396674845,0.2776186951135107
215,VAE_BBox,0.9167007918241725,0.5322011754588153,0.3282398396674845,0.2776186951135107
100,VAE_Filter,0.9152985487263154,0.5435781155191335,0.33024804821613135,0.268088873958776
390,VAE_Filter,0.9152985487263154,0.5435781155191335,0.33024804821613135,0.268088873958776
1520,VAE_Filter,0.9152985487263154,0.5435781155191335,0.33024804821613135,0.268088873958776
5928,VAE_Filter,0.9152985487263154,0.5435781155191335,0.33024804821613135,0.268088873958776
215,VAE_Filter,0.9152985487263154,0.5435781155191335,0.33024804821613135,0.268088873958776
100,VAE_GMM,0.8773220888306289,0.5145120888777349,0.32766416642891993,0.2420536695259519
390,VAE_GMM,0.8773220888306289,0.5145120888777349,0.32766416642891993,0.2420536695259519
1520,VAE_GMM,0.8773220888306289,0.5145120888777349,0.32766416642891993,0.2420536695259519
5928,VAE_GMM,0.8773220888306289,0.5145120888777349,0.32766416642891993,0.2420536695259519
215,VAE_GMM,0.8773220888306289,0.5145120888777349,0.32766416642891993,0.2420536695259519
