Exemplar_Size,Method,Task 2,Task 3
100,Random,0.15684647110253563,0.08537466807267483
390,Random,0.22033327101880124,0.11998409997935876
1520,Random,0.2716810155525973,0.1633377539054761
5928,Random,0.28280916487211,0.18044458029214325
135,Random,0.1460750179242049,0.09436725596798914
100,EWC_Replay,0.15691194100377315,0.07058201304134396
390,EWC_Replay,0.2578581851683892,0.13259557445444872
1520,EWC_Replay,0.27725509860997294,0.15332924642036325
5928,EWC_Replay,0.31724779085760396,0.17079223244039193
135,EWC_Replay,0.1931985871558288,0.09451514708264769
100,iCaRL,0.23950121174121863,0.1476821302841636
390,iCaRL,0.2951859404915006,0.14571678395428841
1520,iCaRL,0.31885499965310665,0.1638148193609591
5928,iCaRL,0.3676301035856862,0.1550937231196951
135,iCaRL,0.24676632770620285,0.1526422155771054
100,LUCIR,0.2724552873408764,0.15802845088340803
390,LUCIR,0.26243103193112893,0.1668724859827084
1520,LUCIR,0.32382195557744425,0.17149916921995637
5928,LUCIR,0.3288048831282859,0.19051652437390706
135,LUCIR,0.2825228826102002,0.16604019262017525
100,VAE_BBox,0.8825085601127127,0.5910228651799052
390,VAE_BBox,0.8825085601127127,0.5910228651799052
1520,VAE_BBox,0.8825085601127127,0.5910228651799052
5928,VAE_BBox,0.8825085601127127,0.5910228651799052
135,VAE_BBox,0.8825085601127127,0.5910228651799052
100,VAE_Filter,0.8848165565294557,0.5774094299984249
390,VAE_Filter,0.8848165565294557,0.5774094299984249
1520,VAE_Filter,0.8848165565294557,0.5774094299984249
5928,VAE_Filter,0.8848165565294557,0.5774094299984249
135,VAE_Filter,0.8848165565294557,0.5774094299984249
100,VAE_GMM,0.8628920143165681,0.5676403591404621
390,VAE_GMM,0.8628920143165681,0.5676403591404621
1520,VAE_GMM,0.8628920143165681,0.5676403591404621
5928,VAE_GMM,0.8628920143165681,0.5676403591404621
135,VAE_GMM,0.8628920143165681,0.5676403591404621
