Exemplar_Size,Method,Task 1,Task 2,Task 3
100,Random,0.9967715536779267,0.6411788393949973,0.26578695735322233
394,Random,0.9965714060163894,0.6690326623130574,0.3029298144960795
1550,Random,0.9966100066517639,0.6815868135802483,0.3278217632434499
6100,Random,0.9968914214506259,0.6818234130925539,0.33521514629948357
135,Random,0.996488887850931,0.6461689277674342,0.2752151462994836
100,EWC_Replay,0.9967291364599072,0.6275223871746802,0.2684222604704532
394,EWC_Replay,0.9971178609931406,0.6549469180440451,0.305974373685217
1550,EWC_Replay,0.9966979726134769,0.6782497980081899,0.3346834958883151
6100,EWC_Replay,0.9962353751825926,0.6736013075816367,0.34140371007840886
135,EWC_Replay,0.9967696346185785,0.6473494435978285,0.27090457066360674
100,iCaRL,0.9982758879170598,0.6655961326161874,0.2924956970740103
394,iCaRL,0.9981361250142016,0.6824574961605807,0.3182329317269076
1550,iCaRL,0.9985209353744119,0.6960858291042845,0.3153681392235609
6100,iCaRL,0.9982430826330027,0.7049037072494525,0.30470835723847767
135,iCaRL,0.9984453938074531,0.6708589052826419,0.3140332759609868
100,LUCIR,0.9988235978605969,0.6682761880451917,0.2952686938229106
394,LUCIR,0.9988278594546889,0.6842292605937793,0.3177280550774526
1550,LUCIR,0.9982356686480487,0.6955118002914177,0.34467393383056033
6100,LUCIR,0.9986283487941032,0.696122013310674,0.3423828647925033
135,LUCIR,0.9987785700713954,0.6725377470810496,0.30427232740485743
100,VAE_BBox,0.9968615476889565,0.8756030451473443,0.5388219544846051
394,VAE_BBox,0.9968615476889565,0.8756030451473443,0.5388219544846051
1550,VAE_BBox,0.9968615476889565,0.8756030451473443,0.5388219544846051
6100,VAE_BBox,0.9968615476889565,0.8756030451473443,0.5388219544846051
135,VAE_BBox,0.9968615476889565,0.8756030451473443,0.5388219544846051
100,VAE_Filter,0.9965501959365904,0.8819073089436354,0.5395792694587875
394,VAE_Filter,0.9965501959365904,0.8819073089436354,0.5395792694587875
1550,VAE_Filter,0.9965501959365904,0.8819073089436354,0.5395792694587875
6100,VAE_Filter,0.9965501959365904,0.8819073089436354,0.5395792694587875
135,VAE_Filter,0.9965501959365904,0.8819073089436354,0.5395792694587875
100,VAE_GMM,0.9966858214686222,0.941924906638247,0.7162287244214955
394,VAE_GMM,0.9966858214686222,0.941924906638247,0.7162287244214955
1550,VAE_GMM,0.9966858214686222,0.941924906638247,0.7162287244214955
6100,VAE_GMM,0.9966858214686222,0.941924906638247,0.7162287244214955
135,VAE_GMM,0.9966858214686222,0.941924906638247,0.7162287244214955
