Exemplar_Size,Method,Task 2,Task 3
100,Random,0.9939430458507938,0.9995449576383426
394,Random,0.9914574596718021,0.9966828901099611
1550,Random,0.9901855086061299,0.993396816135224
6100,Random,0.989380161994534,0.9904824481592623
135,Random,0.9936584161820297,0.9990480200876276
100,EWC_Replay,0.9935428370316548,0.9993194230510257
394,EWC_Replay,0.9921296094426827,0.9973070945139101
1550,EWC_Replay,0.989920022843252,0.9929081063440583
6100,EWC_Replay,0.9894732971304208,0.9908395499599943
135,EWC_Replay,0.9934908557606191,0.9990624078959349
100,iCaRL,0.979701288263964,0.998820408272017
394,iCaRL,0.9837181295560349,0.9931587081826955
1550,iCaRL,0.9663450952431087,0.9892120510115188
6100,iCaRL,0.9692380815059546,0.9931830904573974
135,iCaRL,0.9826789049519072,0.9966611473159115
100,LUCIR,0.9947339279696387,0.9994965566979203
394,LUCIR,0.9957182428594494,0.9991659418860316
1550,LUCIR,0.9959845077884644,0.9973619197195979
6100,LUCIR,0.9964790847242402,0.9962185487247467
135,LUCIR,0.994477002147421,0.9995067541533614
100,VAE_BBox,0.9959207497760684,1.0
394,VAE_BBox,0.9959207497760684,1.0
1550,VAE_BBox,0.9959207497760684,1.0
6100,VAE_BBox,0.9959207497760684,1.0
135,VAE_BBox,0.9959207497760684,1.0
100,VAE_Filter,0.9957364097680844,1.0
394,VAE_Filter,0.9957364097680844,1.0
1550,VAE_Filter,0.9957364097680844,1.0
6100,VAE_Filter,0.9957364097680844,1.0
135,VAE_Filter,0.9957364097680844,1.0
100,VAE_GMM,0.9933547951854841,0.9999540007167697
394,VAE_GMM,0.9933547951854841,0.9999540007167697
1550,VAE_GMM,0.9933547951854841,0.9999540007167697
6100,VAE_GMM,0.9933547951854841,0.9999540007167697
135,VAE_GMM,0.9933547951854841,0.9999540007167697
