Exemplar_Size,Method,Task 2,Task 3,Task 4
100,Random,0.19723244364009096,0.1258222540994987,0.10318352136975488
394,Random,0.24253250043955102,0.17538251207824826,0.14768362552102554
1550,Random,0.29642824728263373,0.22298601106725666,0.18394923380908873
6100,Random,0.2922747656850111,0.24306893492000178,0.20217865245228905
175,Random,0.2115124585765167,0.1434776504110447,0.12001417763826357
100,EWC_Replay,0.1958122043386233,0.1303366944647166,0.09885512122103397
394,EWC_Replay,0.2442608827993921,0.18750159676683492,0.14629419423259077
1550,EWC_Replay,0.2821523737344184,0.22223135432339272,0.18854090923901437
6100,EWC_Replay,0.29989698950402527,0.23625632013918202,0.19147559449903928
175,EWC_Replay,0.20530560574971887,0.1484247992130255,0.10603206071697156
100,iCaRL,0.2558230234377103,0.1417816885253124,0.12798921364040472
394,iCaRL,0.3005983781470498,0.18432024447603684,0.15858849554998014
1550,iCaRL,0.28284511665941636,0.20958127140365138,0.16715977332212395
6100,iCaRL,0.2736888762600786,0.2165944556131932,0.1630112298457577
175,iCaRL,0.267278819966783,0.16950663471901203,0.1337149868732241
100,LUCIR,0.2495657219661404,0.17305876665144254,0.14707392991113863
394,LUCIR,0.2756924514979193,0.20796199502197477,0.1703339307115902
1550,LUCIR,0.31591793724354683,0.21674949368916593,0.183852322762374
6100,LUCIR,0.30032630448174147,0.2442153067325793,0.19023531513037098
175,LUCIR,0.2420609142842942,0.18415044497260533,0.16814336679623218
100,VAE_BBox,0.6756353397783276,0.4527228879108247,0.3474885536920107
394,VAE_BBox,0.6756353397783276,0.4527228879108247,0.3474885536920107
1550,VAE_BBox,0.6756353397783276,0.4527228879108247,0.3474885536920107
6100,VAE_BBox,0.6756353397783276,0.4527228879108247,0.3474885536920107
175,VAE_BBox,0.6756353397783276,0.4527228879108247,0.3474885536920107
100,VAE_Filter,0.683411958824889,0.4487700365505528,0.33798610050107913
394,VAE_Filter,0.683411958824889,0.4487700365505528,0.33798610050107913
1550,VAE_Filter,0.683411958824889,0.4487700365505528,0.33798610050107913
6100,VAE_Filter,0.683411958824889,0.4487700365505528,0.33798610050107913
175,VAE_Filter,0.683411958824889,0.4487700365505528,0.33798610050107913
100,VAE_GMM,0.8328708442848026,0.540949907164393,0.37484549622554864
394,VAE_GMM,0.8328708442848026,0.540949907164393,0.37484549622554864
1550,VAE_GMM,0.8328708442848026,0.540949907164393,0.37484549622554864
6100,VAE_GMM,0.8328708442848026,0.540949907164393,0.37484549622554864
175,VAE_GMM,0.8328708442848026,0.540949907164393,0.37484549622554864
