Exemplar_Size,Method,Task 2
100,EWC_Replay,1.0
100,EWC_Replay,0.9991266375545852
100,EWC_Replay,0.998125
100,EWC_Replay,1.0
100,EWC_Replay,0.9973799126637556
100,EWC_Replay,1.0
100,EWC_Replay,1.0
100,EWC_Replay,0.99875
100,EWC_Replay,0.9975510204081632
100,EWC_Replay,1.0
100,EWC_Replay,1.0
100,EWC_Replay,1.0
100,EWC_Replay,0.9975
100,EWC_Replay,0.9994134897360704
100,EWC_Replay,1.0
100,EWC_Replay,1.0
100,EWC_Replay,1.0
100,EWC_Replay,0.9991266375545852
100,EWC_Replay,0.9973799126637556
100,EWC_Replay,0.9973799126637556
100,EWC_Replay,0.9988269794721408
100,EWC_Replay,1.0
100,EWC_Replay,0.9991266375545852
100,EWC_Replay,0.9983673469387756
100,EWC_Replay,0.9965065502183408
100,EWC_Replay,1.0
100,EWC_Replay,0.9991836734693876
100,EWC_Replay,1.0
100,EWC_Replay,1.0
100,EWC_Replay,0.9991266375545852
390,EWC_Replay,1.0
390,EWC_Replay,0.9764192139737992
390,EWC_Replay,0.99625
390,EWC_Replay,0.9959183673469386
390,EWC_Replay,0.9938864628820964
390,EWC_Replay,0.9975510204081632
390,EWC_Replay,1.0
390,EWC_Replay,0.999375
390,EWC_Replay,0.9877551020408164
390,EWC_Replay,0.9985663082437276
390,EWC_Replay,1.0
390,EWC_Replay,0.9985663082437276
390,EWC_Replay,0.999375
390,EWC_Replay,0.997067448680352
390,EWC_Replay,1.0
390,EWC_Replay,0.9942857142857144
390,EWC_Replay,1.0
390,EWC_Replay,0.9947598253275112
390,EWC_Replay,0.972052401746725
390,EWC_Replay,0.9694323144104804
390,EWC_Replay,0.9976539589442815
390,EWC_Replay,1.0
390,EWC_Replay,0.9886462882096072
390,EWC_Replay,0.9951020408163268
390,EWC_Replay,0.9781659388646288
390,EWC_Replay,1.0
390,EWC_Replay,0.9975510204081632
390,EWC_Replay,1.0
390,EWC_Replay,1.0
390,EWC_Replay,0.9825327510917032
1520,EWC_Replay,0.9978494623655912
1520,EWC_Replay,0.9790393013100436
1520,EWC_Replay,0.99875
1520,EWC_Replay,0.9918367346938776
1520,EWC_Replay,0.9921397379912664
1520,EWC_Replay,0.9951020408163268
1520,EWC_Replay,0.999283154121864
1520,EWC_Replay,0.99875
1520,EWC_Replay,0.9804081632653062
1520,EWC_Replay,1.0
1520,EWC_Replay,0.9985663082437276
1520,EWC_Replay,1.0
1520,EWC_Replay,0.996875
1520,EWC_Replay,0.9888563049853372
1520,EWC_Replay,1.0
1520,EWC_Replay,0.9926530612244898
1520,EWC_Replay,1.0
1520,EWC_Replay,0.9965065502183408
1520,EWC_Replay,0.9703056768558952
1520,EWC_Replay,0.97117903930131
1520,EWC_Replay,0.9935483870967742
1520,EWC_Replay,1.0
1520,EWC_Replay,0.972052401746725
1520,EWC_Replay,0.9934693877551022
1520,EWC_Replay,0.9781659388646288
1520,EWC_Replay,0.999283154121864
1520,EWC_Replay,0.9983673469387756
1520,EWC_Replay,1.0
1520,EWC_Replay,1.0
1520,EWC_Replay,0.9877729257641924
5928,EWC_Replay,0.996415770609319
5928,EWC_Replay,0.9729257641921396
5928,EWC_Replay,0.995
5928,EWC_Replay,0.9844897959183674
5928,EWC_Replay,0.9921397379912664
5928,EWC_Replay,0.9910204081632652
5928,EWC_Replay,1.0
5928,EWC_Replay,0.99875
5928,EWC_Replay,0.9722448979591836
5928,EWC_Replay,0.9978494623655914
5928,EWC_Replay,0.996415770609319
5928,EWC_Replay,0.999283154121864
5928,EWC_Replay,0.9975000000000002
5928,EWC_Replay,0.997067448680352
5928,EWC_Replay,0.999283154121864
5928,EWC_Replay,0.9934693877551022
5928,EWC_Replay,1.0
5928,EWC_Replay,0.9982532751091704
5928,EWC_Replay,0.977292576419214
5928,EWC_Replay,0.9816593886462884
5928,EWC_Replay,0.9941348973607038
5928,EWC_Replay,1.0
5928,EWC_Replay,0.9720524017467248
5928,EWC_Replay,0.9902040816326532
5928,EWC_Replay,0.9650655021834064
5928,EWC_Replay,0.9985663082437276
5928,EWC_Replay,0.999183673469388
5928,EWC_Replay,1.0
5928,EWC_Replay,1.0
5928,EWC_Replay,0.9685589519650656
175,EWC_Replay,1.0
175,EWC_Replay,0.9886462882096072
175,EWC_Replay,0.9975
175,EWC_Replay,0.9959183673469388
175,EWC_Replay,0.9991266375545852
175,EWC_Replay,0.9983673469387756
175,EWC_Replay,1.0
175,EWC_Replay,1.0
175,EWC_Replay,0.9975510204081632
175,EWC_Replay,0.9985663082437276
175,EWC_Replay,1.0
175,EWC_Replay,1.0
175,EWC_Replay,0.9975
175,EWC_Replay,0.9988269794721408
175,EWC_Replay,1.0
175,EWC_Replay,1.0
175,EWC_Replay,1.0
175,EWC_Replay,0.9982532751091704
175,EWC_Replay,0.9938864628820964
175,EWC_Replay,0.9930131004366812
175,EWC_Replay,0.9988269794721408
175,EWC_Replay,1.0
175,EWC_Replay,0.995633187772926
175,EWC_Replay,0.9975510204081632
175,EWC_Replay,0.9930131004366812
175,EWC_Replay,0.999283154121864
175,EWC_Replay,0.9991836734693876
175,EWC_Replay,1.0
175,EWC_Replay,1.0
175,EWC_Replay,0.989519650655022
100,Random,1.0
100,Random,0.995633187772926
100,Random,0.99875
100,Random,1.0
100,Random,0.9973799126637556
100,Random,0.9991836734693876
100,Random,1.0
100,Random,0.99875
100,Random,1.0
100,Random,1.0
100,Random,1.0
100,Random,1.0
100,Random,0.999375
100,Random,0.9994134897360704
100,Random,1.0
100,Random,0.9991836734693876
100,Random,1.0
100,Random,1.0
100,Random,0.993886462882096
100,Random,0.9982532751091704
100,Random,0.9982404692082112
100,Random,1.0
100,Random,0.9991266375545852
100,Random,1.0
100,Random,0.9991266375545852
100,Random,1.0
100,Random,1.0
100,Random,1.0
100,Random,1.0
100,Random,0.9982532751091704
390,Random,0.999283154121864
390,Random,0.9764192139737992
390,Random,0.998125
390,Random,0.9951020408163264
390,Random,0.9947598253275112
390,Random,0.9983673469387756
390,Random,1.0
390,Random,1.0
390,Random,0.9885714285714288
390,Random,0.999283154121864
390,Random,1.0
390,Random,1.0
390,Random,0.998125
390,Random,0.9947214076246336
390,Random,1.0
390,Random,0.9959183673469388
390,Random,1.0
390,Random,0.9947598253275112
390,Random,0.972052401746725
390,Random,0.9729257641921398
390,Random,0.997067448680352
390,Random,1.0
390,Random,0.9921397379912664
390,Random,0.9942857142857144
390,Random,0.972052401746725
390,Random,1.0
390,Random,0.9983673469387756
390,Random,1.0
390,Random,1.0
390,Random,0.9842794759825328
1520,Random,0.9971326164874552
1520,Random,0.9659388646288212
1520,Random,0.995625
1520,Random,0.9934693877551022
1520,Random,0.987772925764192
1520,Random,0.986938775510204
1520,Random,1.0
1520,Random,0.999375
1520,Random,0.9820408163265308
1520,Random,0.999283154121864
1520,Random,0.999283154121864
1520,Random,0.9985663082437276
1520,Random,0.9975
1520,Random,0.9923753665689152
1520,Random,1.0
1520,Random,0.9926530612244898
1520,Random,1.0
1520,Random,0.9973799126637556
1520,Random,0.9746724890829694
1520,Random,0.9685589519650656
1520,Random,0.990615835777126
1520,Random,1.0
1520,Random,0.9868995633187772
1520,Random,0.9951020408163268
1520,Random,0.9737991266375546
1520,Random,1.0
1520,Random,0.9975510204081632
1520,Random,1.0
1520,Random,1.0
1520,Random,0.9781659388646288
5928,Random,0.9978494623655914
5928,Random,0.978165938864629
5928,Random,0.996875
5928,Random,0.99265306122449
5928,Random,0.9799126637554584
5928,Random,0.9942857142857144
5928,Random,1.0
5928,Random,0.9975
5928,Random,0.9828571428571428
5928,Random,0.9985663082437276
5928,Random,0.9978494623655914
5928,Random,0.9985663082437276
5928,Random,0.99875
5928,Random,0.9958944281524926
5928,Random,0.999283154121864
5928,Random,0.9926530612244898
5928,Random,1.0
5928,Random,0.9973799126637556
5928,Random,0.9659388646288212
5928,Random,0.9615720524017468
5928,Random,0.9929618768328444
5928,Random,1.0
5928,Random,0.9764192139737992
5928,Random,0.9934693877551022
5928,Random,0.9676855895196508
5928,Random,0.999283154121864
