Exemplar_Size,Method,Task 2
100,Random,0.1024845334892017
394,Random,0.17208919118909774
1550,Random,0.2138625249904948
6100,Random,0.2117645195309227
95,Random,0.10724939436557683
100,EWC_Replay,0.09177688790384268
394,EWC_Replay,0.16353722642127452
1550,EWC_Replay,0.2069566695309823
6100,EWC_Replay,0.22612542595664328
95,EWC_Replay,0.10485421458975927
100,iCaRL,0.20183747432856564
394,iCaRL,0.2516431595444434
1550,iCaRL,0.2304360611961385
6100,iCaRL,0.22317468877168004
95,iCaRL,0.1819379395254882
100,LUCIR,0.1995941718510292
394,LUCIR,0.21296509107275424
1550,LUCIR,0.22339148872625092
6100,LUCIR,0.22770689130516403
95,LUCIR,0.19400685847167376
100,VAE_BBox,0.6370704720318903
394,VAE_BBox,0.6370704720318903
1550,VAE_BBox,0.6370704720318903
6100,VAE_BBox,0.6370704720318903
95,VAE_BBox,0.6370704720318903
100,VAE_Filter,0.6388714982750283
394,VAE_Filter,0.6388714982750283
1550,VAE_Filter,0.6388714982750283
6100,VAE_Filter,0.6388714982750283
95,VAE_Filter,0.6388714982750283
100,VAE_GMM,0.8134831118748223
394,VAE_GMM,0.8134831118748223
1550,VAE_GMM,0.8134831118748223
6100,VAE_GMM,0.8134831118748223
95,VAE_GMM,0.8134831118748223
