Exemplar_Size,Method,Task 1,Task 2
100,Random,0.9955097902072355,0.5400393778302816
390,Random,0.9958682918881567,0.5656704075605433
1520,Random,0.9953605438793348,0.574164205552274
5928,Random,0.995824511305282,0.5744359125812167
95,Random,0.995068766120551,0.5332348887576294
100,EWC_Replay,0.9957421265449374,0.53436503248671
390,EWC_Replay,0.9955273130564609,0.5564874975388856
1520,EWC_Replay,0.9957873181327925,0.5734199645599528
5928,EWC_Replay,0.995814031302875,0.5849379799173066
95,EWC_Replay,0.9956468544301242,0.5325182122465052
100,iCaRL,0.998584807349707,0.582465052175625
390,iCaRL,0.9984070601747377,0.594239023429809
1520,iCaRL,0.9985741485542146,0.592817483756645
5928,iCaRL,0.9985156291333391,0.5695294349281355
95,iCaRL,0.9987021308616054,0.57233707422721
100,LUCIR,0.9984021940098564,0.5914077574325655
390,LUCIR,0.9981422907484739,0.5845323882654065
1520,LUCIR,0.998611346255482,0.5927466036621383
5928,LUCIR,0.9983274443609255,0.5961134081512109
95,LUCIR,0.998230699035332,0.5951919669226226
100,VAE_BBox,0.9951389493049335,0.8585587714116952
390,VAE_BBox,0.9951389493049335,0.8585587714116952
1520,VAE_BBox,0.9951389493049335,0.8585587714116952
5928,VAE_BBox,0.9951389493049335,0.8585587714116952
95,VAE_BBox,0.9951389493049335,0.8585587714116952
100,VAE_Filter,0.9953930821503076,0.8557747588107895
390,VAE_Filter,0.9953930821503076,0.8557747588107895
1520,VAE_Filter,0.9953930821503076,0.8557747588107895
5928,VAE_Filter,0.9953930821503076,0.8557747588107895
95,VAE_Filter,0.9953930821503076,0.8557747588107895
100,VAE_GMM,0.9958376448768778,0.9203150226422524
390,VAE_GMM,0.9958376448768778,0.9203150226422524
1520,VAE_GMM,0.9958376448768778,0.9203150226422524
5928,VAE_GMM,0.9958376448768778,0.9203150226422524
95,VAE_GMM,0.9958376448768778,0.9203150226422524
