Exemplar_Size,Method,Task 2
100,Random,0.9939555899450757
390,Random,0.9922958334261145
1520,Random,0.9902318848293342
5928,Random,0.9895261005777012
95,Random,0.9932384044866048
100,EWC_Replay,0.9934837187961776
390,EWC_Replay,0.992160384739662
1520,EWC_Replay,0.9906805791931549
5928,EWC_Replay,0.9895677287341733
95,EWC_Replay,0.9935957874954231
100,iCaRL,0.9605679857597444
390,iCaRL,0.9473055992756332
1520,iCaRL,0.9350235215400262
5928,iCaRL,0.899988239165257
95,iCaRL,0.9506953551969405
100,LUCIR,0.9897976502554778
390,LUCIR,0.995718963074342
1520,LUCIR,0.994807633542672
5928,LUCIR,0.9943800033446616
95,LUCIR,0.9946253898857692
100,VAE_BBox,0.996239574879365
390,VAE_BBox,0.996239574879365
1520,VAE_BBox,0.996239574879365
5928,VAE_BBox,0.996239574879365
95,VAE_BBox,0.996239574879365
100,VAE_Filter,0.99599853732637
390,VAE_Filter,0.99599853732637
1520,VAE_Filter,0.99599853732637
5928,VAE_Filter,0.99599853732637
95,VAE_Filter,0.99599853732637
100,VAE_GMM,0.9943225778759864
390,VAE_GMM,0.9943225778759864
1520,VAE_GMM,0.9943225778759864
5928,VAE_GMM,0.9943225778759864
95,VAE_GMM,0.9943225778759864
