Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5
100,Random,0.992479541577095,0.7014539556067939,0.47353167711894806,0.3783889091043882,0.3154545454545454
197,Random,0.9849849178557387,0.6954128095019375,0.470724813757322,0.37925287326242857,0.3107878787878787
390,Random,0.9900626868995169,0.7069859604301171,0.4582437636626881,0.3826972710373051,0.3031818181818181
770,Random,0.9918707809351327,0.719690966192944,0.47663928808673545,0.4001906955613216,0.3121818181818181
215,Random,0.9865669794259396,0.6943970183192482,0.46003343962016113,0.38607166265760484,0.3112727272727272
100,EWC_Replay,0.992290722646299,0.6845292224214926,0.46450816984867693,0.3667342774510477,0.3146060606060605
197,EWC_Replay,0.9923148134760155,0.6888744559896552,0.4575961949539177,0.38531168271099975,0.31390909090909086
390,EWC_Replay,0.9904527167089541,0.720780827500784,0.4661364437304035,0.39255663520186956,0.3069393939393939
770,EWC_Replay,0.9902211011801898,0.7262223381214185,0.4936992063770959,0.3986198637517596,0.3146060606060605
215,EWC_Replay,0.9850322915484628,0.7048482594284757,0.4476972422465529,0.3820145862491286,0.31193939393939385
100,iCaRL,0.9927572039378901,0.6903693613840015,0.48807163260535896,0.37641547299572553,0.3041515151515151
197,iCaRL,0.9908156834700539,0.6874924060994475,0.4670490302544226,0.37349637161656446,0.301060606060606
390,iCaRL,0.9881640543973723,0.6836367708503304,0.4660512196235176,0.34757105382763415,0.3021818181818181
770,iCaRL,0.9932152455937541,0.7043400339961611,0.4399108785843317,0.3379129508522208,0.26933333333333326
215,iCaRL,0.990600471109651,0.6853770324015437,0.47160275250682937,0.37807160524607114,0.3043636363636363
100,LUCIR,0.9546495274885272,0.724096970637858,0.4937926623327443,0.38210327929181714,0.3242121212121212
197,LUCIR,0.95996970586875,0.724000846863805,0.46769495680047807,0.38706884724857754,0.31990909090909087
390,LUCIR,0.962978219886519,0.7303735715113155,0.4718007989247048,0.38098387934700556,0.3161515151515151
770,LUCIR,0.9604718704752737,0.7253922391746818,0.5013974597456902,0.40495244539565706,0.3087878787878787
215,LUCIR,0.9593830607296493,0.6988612060016445,0.47669893427964005,0.3839183228601045,0.3258484848484848
100,VAE_BBox,0.9899338044429843,0.8130882689705081,0.665750681061811,0.4776494419966616,0.3966060606060606
197,VAE_BBox,0.9899338044429843,0.8130882689705081,0.665750681061811,0.4776494419966616,0.3966060606060606
390,VAE_BBox,0.9899338044429843,0.8130882689705081,0.665750681061811,0.4776494419966616,0.3966060606060606
770,VAE_BBox,0.9899338044429843,0.8130882689705081,0.665750681061811,0.4776494419966616,0.3966060606060606
215,VAE_BBox,0.9899338044429843,0.8130882689705081,0.665750681061811,0.4776494419966616,0.3966060606060606
100,VAE_Filter,0.9898772262158072,0.8162017459630583,0.6263276755939045,0.46396529178886287,0.3896666666666666
197,VAE_Filter,0.9898772262158072,0.8162017459630583,0.6263276755939045,0.46396529178886287,0.3896666666666666
390,VAE_Filter,0.9898772262158072,0.8162017459630583,0.6263276755939045,0.46396529178886287,0.3896666666666666
770,VAE_Filter,0.9898772262158072,0.8162017459630583,0.6263276755939045,0.46396529178886287,0.3896666666666666
215,VAE_Filter,0.9898772262158072,0.8162017459630583,0.6263276755939045,0.46396529178886287,0.3896666666666666
100,VAE_GMM,0.9893371529898781,0.8826930436689377,0.7651997079459716,0.6417123852492235,0.5623333333333334
197,VAE_GMM,0.9893371529898781,0.8826930436689377,0.7651997079459716,0.6417123852492235,0.5623333333333334
390,VAE_GMM,0.9893371529898781,0.8826930436689377,0.7651997079459716,0.6417123852492235,0.5623333333333334
770,VAE_GMM,0.9893371529898781,0.8826930436689377,0.7651997079459716,0.6417123852492235,0.5623333333333334
215,VAE_GMM,0.9893371529898781,0.8826930436689377,0.7651997079459716,0.6417123852492235,0.5623333333333334
