Exemplar_Size,Method,Task 2,Task 3
100,Random,0.40109383167461377,0.3159973234834845
195,Random,0.4767802697865703,0.35451091410223584
379,Random,0.5230180443410893,0.3400799414827756
737,Random,0.5113221666636424,0.39251635421447706
135,Random,0.44995925826950317,0.34733211854665796
100,EWC_Replay,0.4149957374846403,0.3250587373334728
195,EWC_Replay,0.45986921628686844,0.34089624493893045
379,EWC_Replay,0.5046686840323649,0.345069624420771
737,EWC_Replay,0.5069384206837451,0.374671527595717
135,EWC_Replay,0.4398072979588922,0.3283725541155057
100,iCaRL,0.5663339047839553,0.2356375168546182
195,iCaRL,0.6282786513358025,0.22992269707743115
379,iCaRL,0.6970541927471358,0.23791474308701854
737,iCaRL,0.6981806151270634,0.26055649733612235
135,iCaRL,0.5576955918489831,0.2397099028060041
100,LUCIR,0.6721582312618802,0.3493584989246923
195,LUCIR,0.7455028126129101,0.36360965164648934
379,LUCIR,0.7299043245456528,0.3548622146611509
737,LUCIR,0.7209389792442741,0.4270377021594778
135,LUCIR,0.7017628760549405,0.36358198655964
100,VAE_BBox,0.5912603070919017,0.48267337130829946
195,VAE_BBox,0.5912603070919017,0.48267337130829946
379,VAE_BBox,0.5912603070919017,0.48267337130829946
737,VAE_BBox,0.5912603070919017,0.48267337130829946
135,VAE_BBox,0.5912603070919017,0.48267337130829946
100,VAE_Filter,0.5896002795150801,0.4840470661861701
195,VAE_Filter,0.5896002795150801,0.4840470661861701
379,VAE_Filter,0.5896002795150801,0.4840470661861701
737,VAE_Filter,0.5896002795150801,0.4840470661861701
135,VAE_Filter,0.5896002795150801,0.4840470661861701
100,VAE_GMM,0.6009061942024823,0.6004328976818587
195,VAE_GMM,0.6009061942024823,0.6004328976818587
379,VAE_GMM,0.6009061942024823,0.6004328976818587
737,VAE_GMM,0.6009061942024823,0.6004328976818587
135,VAE_GMM,0.6009061942024823,0.6004328976818587
