Exemplar_Size,Method,Task 2,Task 3,Task 4
100,Random,0.9855894574308895,0.9833705240482734,0.9890039088504562
195,Random,0.9792274207747353,0.9757416979156109,0.9817588237281333
379,Random,0.9534832189691526,0.9653516077556998,0.9651997845859739
737,Random,0.9625015053148046,0.9431043366976871,0.937076748202068
175,Random,0.9797372207218754,0.9806769147306231,0.9800149935316177
100,EWC_Replay,0.9882199428874621,0.9826443860203451,0.9878532621115742
195,EWC_Replay,0.9855363292575569,0.9745879113781927,0.98240076348772
379,EWC_Replay,0.9606130456641966,0.9632405900436591,0.963081086290805
737,EWC_Replay,0.9585769260577446,0.9473572434953509,0.9313044968671568
175,EWC_Replay,0.9781749225483242,0.9795377838983977,0.9819149194085256
100,iCaRL,0.8419949246547712,0.7045219458007181,0.8804230282363275
195,iCaRL,0.5306626664043544,0.5477474826963318,0.8172123258951903
379,iCaRL,0.4768193542745972,0.4448477595152787,0.7059582247817542
737,iCaRL,0.4565505338651119,0.36793033621678123,0.3927515763577144
175,iCaRL,0.6422540275865084,0.5720418825278161,0.8110433371686568
100,LUCIR,0.8999224986437262,0.8990257781434252,0.925903735366651
195,LUCIR,0.8794398837877099,0.9027696301992978,0.8780848421257629
379,LUCIR,0.8273131770190594,0.8878330918868004,0.8527407559760501
737,LUCIR,0.8645902463549522,0.8231848486835699,0.6727156475238317
175,LUCIR,0.8902251911203318,0.9332071452276056,0.897341047699104
100,VAE_BBox,0.9861438305939585,0.9800913025593333,0.9876283094569539
195,VAE_BBox,0.9861438305939585,0.9800913025593333,0.9876283094569539
379,VAE_BBox,0.9861438305939585,0.9800913025593333,0.9876283094569539
737,VAE_BBox,0.9861438305939585,0.9800913025593333,0.9876283094569539
175,VAE_BBox,0.9861438305939585,0.9800913025593333,0.9876283094569539
100,VAE_Filter,0.9877329263518522,0.979768628643309,0.9755410687635753
195,VAE_Filter,0.9877329263518522,0.979768628643309,0.9755410687635753
379,VAE_Filter,0.9877329263518522,0.979768628643309,0.9755410687635753
737,VAE_Filter,0.9877329263518522,0.979768628643309,0.9755410687635753
175,VAE_Filter,0.9877329263518522,0.979768628643309,0.9755410687635753
100,VAE_GMM,0.992664496628691,0.9906060506699893,0.9936720142602495
195,VAE_GMM,0.992664496628691,0.9906060506699893,0.9936720142602495
379,VAE_GMM,0.992664496628691,0.9906060506699893,0.9936720142602495
737,VAE_GMM,0.992664496628691,0.9906060506699893,0.9936720142602495
175,VAE_GMM,0.992664496628691,0.9906060506699893,0.9936720142602495
