Exemplar_Size,Method,Task 1,Task 2,Task 3
100,Random,0.99259932811916,0.6612782334250351,0.3671515151515151
197,Random,0.9918037535714651,0.682234177614714,0.383060606060606
390,Random,0.99171652478488,0.6946555998455755,0.3879696969696969
770,Random,0.9917610921002782,0.7081024441252335,0.39403030303030295
135,Random,0.9911980946156402,0.679402144767282,0.37066666666666664
100,EWC_Replay,0.992354271463874,0.6565927468584927,0.36830303030303024
197,EWC_Replay,0.9919814054858668,0.6749555673063602,0.38548484848484843
390,EWC_Replay,0.9916931611037827,0.6972158223363477,0.3719393939393939
770,EWC_Replay,0.9925205214004449,0.7046342263719544,0.3908787878787878
135,EWC_Replay,0.9912845759825776,0.6688439905925823,0.3693030303030303
100,iCaRL,0.9939367579908343,0.5957760635730159,0.3355757575757575
197,iCaRL,0.9942918783931572,0.5802580964250886,0.3228484848484848
390,iCaRL,0.9940678336886537,0.508359494482923,0.3188787878787878
770,iCaRL,0.9937594497606003,0.4989985559019836,0.28918181818181815
135,iCaRL,0.9940724933507354,0.5858354874127655,0.33369696969696966
100,LUCIR,0.9943010295953502,0.7151277932007202,0.4156969696969697
197,LUCIR,0.9941799622698526,0.7263457402462923,0.4126969696969696
390,LUCIR,0.9940532212844071,0.7393186989765572,0.3988484848484848
770,LUCIR,0.9945370565559555,0.7405570420830071,0.43048484848484847
135,LUCIR,0.9941994865567627,0.7140568011081335,0.4113636363636363
100,VAE_BBox,0.9911415616089073,0.7860178882119409,0.6057878787878788
197,VAE_BBox,0.9911415616089073,0.7860178882119409,0.6057878787878788
390,VAE_BBox,0.9911415616089073,0.7860178882119409,0.6057878787878788
770,VAE_BBox,0.9911415616089073,0.7860178882119409,0.6057878787878788
135,VAE_BBox,0.9911415616089073,0.7860178882119409,0.6057878787878788
100,VAE_Filter,0.9923910058915677,0.8021532290392167,0.6082727272727272
197,VAE_Filter,0.9923910058915677,0.8021532290392167,0.6082727272727272
390,VAE_Filter,0.9923910058915677,0.8021532290392167,0.6082727272727272
770,VAE_Filter,0.9923910058915677,0.8021532290392167,0.6082727272727272
135,VAE_Filter,0.9923910058915677,0.8021532290392167,0.6082727272727272
100,VAE_GMM,0.9916713206860982,0.8701535888984918,0.7308787878787879
197,VAE_GMM,0.9916713206860982,0.8701535888984918,0.7308787878787879
390,VAE_GMM,0.9916713206860982,0.8701535888984918,0.7308787878787879
770,VAE_GMM,0.9916713206860982,0.8701535888984918,0.7308787878787879
135,VAE_GMM,0.9916713206860982,0.8701535888984918,0.7308787878787879
