Exemplar_Size,Method,Task 2,Task 3
100,Random,0.9881990725844123,0.9966111111111111
191,Random,0.9885004788102332,0.9932440450720297
366,Random,0.9864651602840079,0.9917068535159036
699,Random,0.9880766912278797,0.9860783684908518
135,Random,0.9931047819555885,0.9982384823848238
100,EWC_Replay,0.9875964286578385,0.9957993555719432
191,EWC_Replay,0.9854592702249326,0.9961459939851358
366,EWC_Replay,0.987046496039948,0.9920549182591489
699,EWC_Replay,0.9871087883496832,0.9832064127192225
135,EWC_Replay,0.9940826772358207,0.9977880116959065
100,iCaRL,0.6392791370219214,0.879463941162368
191,iCaRL,0.511491998697633,0.7648611657365174
366,iCaRL,0.3569148362902221,0.662268771413918
699,iCaRL,0.3156934200496462,0.5471784869976359
135,iCaRL,0.647467617287073,0.8370304658029784
100,LUCIR,0.8798628680308577,0.9455111473763115
191,LUCIR,0.8641017334071803,0.9533483598721766
366,LUCIR,0.891158870698442,0.9415947811493793
699,LUCIR,0.8794112315123105,0.9091643246023726
135,LUCIR,0.943199712803503,0.9437718774752137
100,VAE_BBox,0.9927348365794871,0.9959843862380393
191,VAE_BBox,0.9927348365794871,0.9959843862380393
366,VAE_BBox,0.9927348365794871,0.9959843862380393
699,VAE_BBox,0.9927348365794871,0.9959843862380393
135,VAE_BBox,0.9927348365794871,0.9959843862380393
100,VAE_Filter,0.9935243893877325,0.9958132091819238
191,VAE_Filter,0.9935243893877325,0.9958132091819238
366,VAE_Filter,0.9935243893877325,0.9958132091819238
699,VAE_Filter,0.9935243893877325,0.9958132091819238
135,VAE_Filter,0.9935243893877325,0.9958132091819238
100,VAE_GMM,0.9976341641357466,0.9996985094850949
191,VAE_GMM,0.9976341641357466,0.9996985094850949
366,VAE_GMM,0.9976341641357466,0.9996985094850949
699,VAE_GMM,0.9976341641357466,0.9996985094850949
135,VAE_GMM,0.9976341641357466,0.9996985094850949
