Exemplar_Size,Method,Task 1,Task 2
100,Random,0.9521853073998445,0.653015873015873
195,Random,0.9541578576334967,0.6791111111111111
379,Random,0.955382605629752,0.7032698412698413
737,Random,0.9503729370566556,0.6914603174603174
95,Random,0.9539636289236457,0.6518730158730158
100,EWC_Replay,0.9511052799513623,0.6526666666666666
195,EWC_Replay,0.9507214234909394,0.6683809523809523
379,EWC_Replay,0.9520937732715128,0.6971111111111111
737,EWC_Replay,0.9540852833302556,0.6920317460317461
95,EWC_Replay,0.95490456382522,0.6438730158730159
100,iCaRL,0.9619968191444076,0.4408253968253968
195,iCaRL,0.9637476113664528,0.3738412698412698
379,iCaRL,0.9606778053694076,0.34177777777777774
737,iCaRL,0.9659630029845944,0.33330158730158727
95,iCaRL,0.9629802015043267,0.43225396825396817
100,LUCIR,0.9650466912985544,0.6739999999999999
195,LUCIR,0.963525521170466,0.6589841269841269
379,LUCIR,0.9665787849070937,0.6863174603174603
737,LUCIR,0.9611255121128759,0.6597460317460317
95,LUCIR,0.9637530541121139,0.6676825396825397
100,VAE_BBox,0.95192903753969,0.7414920634920635
195,VAE_BBox,0.95192903753969,0.7414920634920635
379,VAE_BBox,0.95192903753969,0.7414920634920635
737,VAE_BBox,0.95192903753969,0.7414920634920635
95,VAE_BBox,0.95192903753969,0.7414920634920635
100,VAE_Filter,0.9538878087864094,0.7387936507936508
195,VAE_Filter,0.9538878087864094,0.7387936507936508
379,VAE_Filter,0.9538878087864094,0.7387936507936508
737,VAE_Filter,0.9538878087864094,0.7387936507936508
95,VAE_Filter,0.9538878087864094,0.7387936507936508
100,VAE_GMM,0.9565142949211999,0.7819682539682539
195,VAE_GMM,0.9565142949211999,0.7819682539682539
379,VAE_GMM,0.9565142949211999,0.7819682539682539
737,VAE_GMM,0.9565142949211999,0.7819682539682539
95,VAE_GMM,0.9565142949211999,0.7819682539682539
