Exemplar_Size,Method,Task 2
100,Random,0.9864959255468009
197,Random,0.9833825770653438
390,Random,0.9824722303686703
770,Random,0.982202812895559
95,Random,0.9894341182648974
100,EWC_Replay,0.9864895919092429
197,EWC_Replay,0.9840242434758011
390,EWC_Replay,0.9797623195345069
770,EWC_Replay,0.9816520973450671
95,EWC_Replay,0.9875879643510939
100,iCaRL,0.6765982460718245
197,iCaRL,0.44566151104766194
390,iCaRL,0.29649127832526323
770,iCaRL,0.30559340873941293
95,iCaRL,0.6871214411885853
100,LUCIR,0.9448044433746041
197,LUCIR,0.9472331294383314
390,LUCIR,0.9099815280270486
770,LUCIR,0.9350922297682207
95,LUCIR,0.9571141128259247
100,VAE_BBox,0.977796555888611
197,VAE_BBox,0.977796555888611
390,VAE_BBox,0.977796555888611
770,VAE_BBox,0.977796555888611
95,VAE_BBox,0.977796555888611
100,VAE_Filter,0.9798151819969672
197,VAE_Filter,0.9798151819969672
390,VAE_Filter,0.9798151819969672
770,VAE_Filter,0.9798151819969672
95,VAE_Filter,0.9798151819969672
100,VAE_GMM,0.9824271660982995
197,VAE_GMM,0.9824271660982995
390,VAE_GMM,0.9824271660982995
770,VAE_GMM,0.9824271660982995
95,VAE_GMM,0.9824271660982995
