Exemplar_Size,Method,Task 2
100,Random,0.4155466109433811
197,Random,0.4628546420699729
390,Random,0.5137291436405189
770,Random,0.5356840657703631
95,Random,0.38901701891227614
100,EWC_Replay,0.41550058488570474
197,EWC_Replay,0.4614139710878023
390,EWC_Replay,0.49619465190297485
770,EWC_Replay,0.5454389414794141
95,EWC_Replay,0.4066514850472641
100,iCaRL,0.4264129168679181
197,iCaRL,0.4858220383593591
390,iCaRL,0.48398680907690905
770,iCaRL,0.42282946795931564
95,iCaRL,0.40038977746934695
100,LUCIR,0.5818460200082632
197,LUCIR,0.5927226191321121
390,LUCIR,0.6645676229965164
770,LUCIR,0.6612532266401101
95,LUCIR,0.5792272758456012
100,VAE_BBox,0.6378079360748532
197,VAE_BBox,0.6378079360748532
390,VAE_BBox,0.6378079360748532
770,VAE_BBox,0.6378079360748532
95,VAE_BBox,0.6378079360748532
100,VAE_Filter,0.6259402314188006
197,VAE_Filter,0.6259402314188006
390,VAE_Filter,0.6259402314188006
770,VAE_Filter,0.6259402314188006
95,VAE_Filter,0.6259402314188006
100,VAE_GMM,0.7747931565102809
197,VAE_GMM,0.7747931565102809
390,VAE_GMM,0.7747931565102809
770,VAE_GMM,0.7747931565102809
95,VAE_GMM,0.7747931565102809
