dataset,scenario,person,method,vae_sampling,filter,iteration,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time
motion,2,2, ce_ewc_random,none, none,0,100,1.2585521707932157,2.517104341586431,0.0648253624637921,0.1296507249275843
motion,2,2, ce_ewc_random,none, none,0,191,1.3071344204246995,2.6142688408493995,0.083399791115274,0.166799582230548
motion,2,2, ce_ewc_random,none, none,0,366,1.406282526026997,2.8125650520539947,0.0912736206005016,0.1825472412010033
motion,2,2, ce_ewc_random,none, none,0,699,1.4752972819997618,2.950594563999524,0.1014939212395499,0.2029878424790998
motion,2,2, ce_ewc_random,none, none,0,95,1.2340759328876931,2.4681518657753867,0.0302619471525152,0.0605238943050305
motion,2,2, ce_ewc_random,none, none,1,100,1.2092527449751893,2.4185054899503786,0.0870748821645975,0.174149764329195
motion,2,2, ce_ewc_random,none, none,1,191,1.3122715475348137,2.624543095069627,0.0846490137279033,0.1692980274558067
motion,2,2, ce_ewc_random,none, none,1,366,1.3794814669423634,2.758962933884727,0.0979051454820566,0.1958102909641133
motion,2,2, ce_ewc_random,none, none,1,699,1.451096504755939,2.902193009511878,0.0983016316158076,0.1966032632316152
motion,2,2, ce_ewc_random,none, none,1,95,1.148114612698555,2.29622922539711,0.0265714300796389,0.0531428601592779
motion,2,2, ce_ewc_random,none, none,2,100,1.310459998001655,2.62091999600331,0.0511286726842323,0.1022573453684647
motion,2,2, ce_ewc_random,none, none,2,191,1.3612277802079915,2.722455560415983,0.0684041076960663,0.1368082153921326
motion,2,2, ce_ewc_random,none, none,2,366,1.44857636489388,2.89715272978776,0.0750088744279411,0.1500177488558822
motion,2,2, ce_ewc_random,none, none,2,699,1.5331714709444593,3.0663429418889185,0.0801740794287373,0.1603481588574747
motion,2,2, ce_ewc_random,none, none,2,95,1.2331207589556774,2.466241517911355,0.0272575604418913,0.0545151208837827
motion,2,2, ce_ewc_random,none, none,3,100,1.2180819552391768,2.4361639104783537,0.0480610987792412,0.0961221975584824
motion,2,2, ce_ewc_random,none, none,3,191,1.2858434303974111,2.5716868607948222,0.0700440548049907,0.1400881096099814
motion,2,2, ce_ewc_random,none, none,3,366,1.379228334666954,2.758456669333908,0.076671902069615,0.15334380413923
motion,2,2, ce_ewc_random,none, none,3,699,1.465655721708511,2.9313114434170227,0.0760936248271415,0.1521872496542831
motion,2,2, ce_ewc_random,none, none,3,95,1.231109199548761,2.462218399097522,0.0314922234043478,0.0629844468086957
motion,2,2, ce_ewc_random,none, none,4,100,1.2747821049764751,2.5495642099529503,0.0577694710964957,0.1155389421929915
motion,2,2, ce_ewc_random,none, none,4,191,1.365944552980363,2.731889105960726,0.0601100045877198,0.1202200091754396
motion,2,2, ce_ewc_random,none, none,4,366,1.431678180789782,2.863356361579564,0.0709831158527069,0.1419662317054139
motion,2,2, ce_ewc_random,none, none,4,699,1.5113023498871674,3.0226046997743348,0.0717329437689234,0.1434658875378469
motion,2,2, ce_ewc_random,none, none,4,95,1.2479046468933424,2.4958092937866847,0.0273479252432783,0.0546958504865566
