Exemplar_Size,Method,Task 2,Task 3,Task 4
100,Random,0.9034044558228298,0.9191194928480412,0.9516764132553607
237,Random,0.8905598650583477,0.9055111567129772,0.9147998245632036
562,Random,0.8783898403701415,0.8889542584404584,0.8714007793850784
1332,Random,0.8840892775453947,0.8823356554178188,0.8140001110655689
175,Random,0.8892961303089538,0.9062719255224245,0.9363288041262389
100,EWC_Replay,0.9069603239047307,0.9191122185792724,0.9515035150362439
237,EWC_Replay,0.889522435797432,0.9093903940769736,0.9134935526167283
562,EWC_Replay,0.8834809417176441,0.8856705637785168,0.8707025531760163
1332,EWC_Replay,0.8863411449949752,0.8795121098723431,0.8266117823647678
175,EWC_Replay,0.8971995320964672,0.9047064427969975,0.9255786700645171
100,iCaRL,0.5160082477415007,0.4252597919362801,0.8872331028677779
237,iCaRL,0.3559334995396867,0.20841249756805935,0.7026648108636167
562,iCaRL,0.29260241760911393,0.17589643912955844,0.4709567331205987
1332,iCaRL,0.32733621786461403,0.1496946184732095,0.34219227862085005
175,iCaRL,0.41796951197336824,0.2615911386680604,0.8334779008319477
100,LUCIR,0.516957379837807,0.650609714468526,0.8057767150944949
237,LUCIR,0.43725968094047657,0.805864590017205,0.754118565554877
562,LUCIR,0.44653086630644306,0.6431753212891368,0.6172436392460718
1332,LUCIR,0.4514253545250441,0.6507029153371928,0.56878748125431
175,LUCIR,0.5385165551046673,0.7174544373302165,0.8054932089794983
100,VAE_BBox,0.9226480407360962,0.9281072507491326,0.9865272110643628
237,VAE_BBox,0.9226480407360962,0.9281072507491326,0.9865272110643628
562,VAE_BBox,0.9226480407360962,0.9281072507491326,0.9865272110643628
1332,VAE_BBox,0.9226480407360962,0.9281072507491326,0.9865272110643628
175,VAE_BBox,0.9226480407360962,0.9281072507491326,0.9865272110643628
100,VAE_Filter,0.9227511253971618,0.9243742897075719,0.9849575163398694
237,VAE_Filter,0.9227511253971618,0.9243742897075719,0.9849575163398694
562,VAE_Filter,0.9227511253971618,0.9243742897075719,0.9849575163398694
1332,VAE_Filter,0.9227511253971618,0.9243742897075719,0.9849575163398694
175,VAE_Filter,0.9227511253971618,0.9243742897075719,0.9849575163398694
100,VAE_GMM,0.9249894768407906,0.927413568494416,0.9892461132901204
237,VAE_GMM,0.9249894768407906,0.927413568494416,0.9892461132901204
562,VAE_GMM,0.9249894768407906,0.927413568494416,0.9892461132901204
1332,VAE_GMM,0.9249894768407906,0.927413568494416,0.9892461132901204
175,VAE_GMM,0.9249894768407906,0.927413568494416,0.9892461132901204
