Exemplar_Size,Method,Task 2,Task 3,Task 4,Task 5,Task 6
100,Random,0.21697420662766306,0.1968095836167694,0.1478212990616288,0.12177786536073278,0.11563939291714981
240,Random,0.30474809883969733,0.2574043907763983,0.20474067397352563,0.1698944488932346,0.13032322437136362
575,Random,0.30772695496311075,0.23818716134508863,0.1989762173136388,0.15196310667721952,0.14667865225500207
1378,Random,0.30775346169112905,0.2557158876846465,0.19142602949043264,0.1651313207144796,0.12515745625981664
255,Random,0.2733489081402375,0.1852309687552728,0.17320315198204544,0.15966309207215143,0.13690335445444085
100,EWC_Replay,0.26161488199235144,0.17359163889848644,0.15010075778860316,0.11789644255934996,0.10582959791362882
240,EWC_Replay,0.3057225129511936,0.23894715161207392,0.1867420003233595,0.14012747000141954,0.1315651671299171
575,EWC_Replay,0.28164356582771705,0.24462864585588023,0.18623713834967967,0.17037088031200465,0.13633343074379853
1378,EWC_Replay,0.31196762095666647,0.2766797437880546,0.22458679959036884,0.17620192113674532,0.1473398556160787
255,EWC_Replay,0.2941551227686949,0.2139979792033418,0.18048126545629786,0.17333801700999538,0.14307520909126173
100,iCaRL,0.3232930616620219,0.21853525755280634,0.19925589202608193,0.1413020414037674,0.1200790187987651
240,iCaRL,0.2878817856910027,0.20037357580332477,0.17001134676382323,0.11463611368998491,0.11116169631947076
575,iCaRL,0.2626299663143951,0.19424042043854942,0.17112695849281814,0.14109576963719989,0.10290771632142076
1378,iCaRL,0.28826469773467867,0.1868062133890191,0.14709369079249207,0.12726450241441759,0.10737072985059876
255,iCaRL,0.2791818585775726,0.1892393977015484,0.17972584961558447,0.1395528470674184,0.11684787737186444
100,LUCIR,0.3149615178169712,0.2419085465425903,0.21082039422659984,0.16662137034183258,0.15021557579638736
240,LUCIR,0.3152700744818135,0.2424456236434221,0.201482371573017,0.1730821550784318,0.1358671308160863
575,LUCIR,0.3171198141534578,0.2708140440626128,0.22847391436196243,0.21477908968410056,0.1736095648429982
1378,LUCIR,0.31997477860661505,0.25942467674181136,0.1922763867940499,0.1621863219848959,0.14112056305603302
255,LUCIR,0.3156590251426701,0.24693109145715525,0.21709064877950646,0.1547395111088558,0.1336367834478191
100,VAE_BBox,0.6588357879733411,0.4597940687306806,0.3400383004905417,0.26758427708435073,0.21781954393306358
240,VAE_BBox,0.6588357879733411,0.4597940687306806,0.3400383004905417,0.26758427708435073,0.21781954393306358
575,VAE_BBox,0.6588357879733411,0.4597940687306806,0.3400383004905417,0.26758427708435073,0.21781954393306358
1378,VAE_BBox,0.6588357879733411,0.4597940687306806,0.3400383004905417,0.26758427708435073,0.21781954393306358
255,VAE_BBox,0.6588357879733411,0.4597940687306806,0.3400383004905417,0.26758427708435073,0.21781954393306358
100,VAE_Filter,0.6548172324975511,0.47090248791952055,0.3385516030405171,0.27654651777947226,0.2275526838435338
240,VAE_Filter,0.6548172324975511,0.47090248791952055,0.3385516030405171,0.27654651777947226,0.2275526838435338
575,VAE_Filter,0.6548172324975511,0.47090248791952055,0.3385516030405171,0.27654651777947226,0.2275526838435338
1378,VAE_Filter,0.6548172324975511,0.47090248791952055,0.3385516030405171,0.27654651777947226,0.2275526838435338
255,VAE_Filter,0.6548172324975511,0.47090248791952055,0.3385516030405171,0.27654651777947226,0.2275526838435338
100,VAE_GMM,0.7403247361752793,0.578018800901542,0.4537924596011856,0.3664758872190178,0.31371332983846484
240,VAE_GMM,0.7403247361752793,0.578018800901542,0.4537924596011856,0.3664758872190178,0.31371332983846484
575,VAE_GMM,0.7403247361752793,0.578018800901542,0.4537924596011856,0.3664758872190178,0.31371332983846484
1378,VAE_GMM,0.7403247361752793,0.578018800901542,0.4537924596011856,0.3664758872190178,0.31371332983846484
255,VAE_GMM,0.7403247361752793,0.578018800901542,0.4537924596011856,0.3664758872190178,0.31371332983846484
