Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Task 6,Method
100,0.9777777777777776,0.7894736842105263,1.0,0.945945945945946,0.8250000000000001,EWC_Replay
100,1.0,0.9444444444444444,0.8947368421052632,1.0,0.925,EWC_Replay
100,0.9487179487179488,1.0,1.0,1.0,1.0,EWC_Replay
100,1.0,0.9473684210526316,0.972972972972973,1.0,1.0,EWC_Replay
100,0.9555555555555556,0.945945945945946,0.9722222222222222,0.925,1.0,EWC_Replay
100,0.8888888888888888,0.945945945945946,1.0,1.0,1.0,EWC_Replay
100,0.775,0.9230769230769232,0.8461538461538461,1.0,1.0,EWC_Replay
100,0.9411764705882352,0.9473684210526316,1.0,0.9777777777777776,0.8461538461538461,EWC_Replay
100,0.8000000000000002,0.8421052631578947,0.9166666666666666,0.8461538461538461,0.979591836734694,EWC_Replay
100,0.9803921568627452,1.0,0.972972972972973,0.9555555555555556,0.925,EWC_Replay
100,1.0,0.945945945945946,0.8421052631578947,0.8461538461538461,1.0,EWC_Replay
100,0.775,1.0,1.0,0.972972972972973,1.0,EWC_Replay
100,1.0,1.0,0.9230769230769232,0.9722222222222222,0.9777777777777776,EWC_Replay
100,0.9473684210526316,1.0,1.0,0.972972972972973,0.9487179487179488,EWC_Replay
100,0.9487179487179488,1.0,0.8421052631578947,1.0,1.0,EWC_Replay
100,0.972972972972973,1.0,0.8461538461538461,0.9,1.0,EWC_Replay
100,0.8846153846153846,1.0,1.0,0.95,0.9803921568627452,EWC_Replay
100,0.972972972972973,1.0,1.0,0.9777777777777776,0.8888888888888888,EWC_Replay
100,0.8888888888888888,0.9777777777777776,0.875,1.0,1.0,EWC_Replay
100,0.8461538461538461,0.979591836734694,0.972972972972973,1.0,0.925,EWC_Replay
100,0.9230769230769232,1.0,1.0,0.8461538461538461,1.0,EWC_Replay
100,1.0,0.945945945945946,0.8461538461538461,1.0,0.9803921568627452,EWC_Replay
100,0.9473684210526316,0.972972972972973,0.9473684210526316,0.8461538461538461,0.925,EWC_Replay
100,0.8421052631578947,0.8888888888888888,0.972972972972973,1.0,1.0,EWC_Replay
100,1.0,0.9722222222222222,0.945945945945946,1.0,1.0,EWC_Replay
100,0.9487179487179488,0.9803921568627452,1.0,1.0,0.8846153846153846,EWC_Replay
100,1.0,0.9722222222222222,0.945945945945946,0.9777777777777776,0.875,EWC_Replay
100,1.0,1.0,0.972972972972973,0.9736842105263158,1.0,EWC_Replay
100,0.945945945945946,0.8461538461538461,1.0,0.8250000000000001,0.9166666666666666,EWC_Replay
100,0.9487179487179488,0.9215686274509804,0.8461538461538461,1.0,0.875,EWC_Replay
237,0.9777777777777776,0.9473684210526316,0.979591836734694,0.945945945945946,0.8000000000000002,EWC_Replay
237,0.979591836734694,0.8888888888888888,0.8421052631578947,0.9473684210526316,0.75,EWC_Replay
237,0.9743589743589745,1.0,1.0,0.9803921568627452,0.9736842105263158,EWC_Replay
237,0.9777777777777776,0.8421052631578947,0.945945945945946,1.0,0.9473684210526316,EWC_Replay
237,1.0,0.945945945945946,0.8888888888888888,0.8250000000000001,0.8947368421052632,EWC_Replay
237,0.8888888888888888,0.945945945945946,0.8684210526315791,0.9777777777777776,0.9591836734693876,EWC_Replay
237,0.775,0.8974358974358976,0.8461538461538461,1.0,1.0,EWC_Replay
237,0.9215686274509804,0.7894736842105263,1.0,0.9777777777777776,0.8461538461538461,EWC_Replay
237,0.7250000000000002,0.9473684210526316,0.9444444444444444,0.8461538461538461,0.9591836734693876,EWC_Replay
237,0.9803921568627452,0.979591836734694,0.972972972972973,1.0,0.8000000000000002,EWC_Replay
237,0.8888888888888888,0.972972972972973,0.7368421052631579,0.8461538461538461,0.9607843137254902,EWC_Replay
237,0.75,0.8888888888888888,0.979591836734694,0.945945945945946,0.9803921568627452,EWC_Replay
237,0.9803921568627452,0.979591836734694,0.8974358974358976,0.8888888888888888,0.9777777777777776,EWC_Replay
237,1.0,1.0,0.9607843137254902,0.945945945945946,0.9230769230769232,EWC_Replay
237,0.8974358974358976,0.9444444444444444,0.8421052631578947,0.9777777777777776,0.9210526315789476,EWC_Replay
237,0.945945945945946,0.9803921568627452,0.8461538461538461,0.75,0.9210526315789476,EWC_Replay
237,0.8461538461538461,1.0,0.8888888888888888,0.75,0.9411764705882352,EWC_Replay
237,0.945945945945946,0.9411764705882352,0.8684210526315791,0.9777777777777776,0.8888888888888888,EWC_Replay
237,0.8888888888888888,0.9777777777777776,0.85,0.9210526315789476,1.0,EWC_Replay
237,0.8461538461538461,0.979591836734694,0.945945945945946,0.9230769230769232,0.8000000000000002,EWC_Replay
237,0.8461538461538461,0.9777777777777776,0.9607843137254902,0.8461538461538461,0.979591836734694,EWC_Replay
237,0.9777777777777776,0.945945945945946,0.8846153846153846,1.0,1.0,EWC_Replay
237,0.9473684210526316,0.945945945945946,0.9736842105263158,0.8461538461538461,0.7250000000000002,EWC_Replay
237,0.7894736842105263,0.8888888888888888,0.945945945945946,0.9777777777777776,0.979591836734694,EWC_Replay
237,0.9777777777777776,0.8888888888888888,0.972972972972973,1.0,0.8717948717948718,EWC_Replay
237,0.8205128205128205,0.9019607843137256,0.8421052631578947,0.9777777777777776,0.8461538461538461,EWC_Replay
237,0.979591836734694,0.8888888888888888,0.945945945945946,0.9777777777777776,0.8250000000000001,EWC_Replay
237,0.9777777777777776,0.8421052631578947,0.945945945945946,0.9210526315789476,0.979591836734694,EWC_Replay
