Exemplar_Size,Method,Task 1,Task 2,Task 3
100,Random,0.8876844256912565,0.45814980892419804,0.28829516539440203
240,Random,0.8901948342983814,0.4862001653902226,0.30212044105173874
575,Random,0.8932315094143578,0.4810324702600475,0.28447837150127225
1378,Random,0.8908127403207567,0.4764823440365523,0.32010178117048343
135,Random,0.8903293913403237,0.4494099626658851,0.297540288379983
100,EWC_Replay,0.8888941845876577,0.44383826799747794,0.28134011874469883
240,EWC_Replay,0.8889982704773823,0.48479019034247106,0.3071246819338422
575,EWC_Replay,0.891174101050909,0.502458902332299,0.29406276505513146
1378,EWC_Replay,0.8862929783531031,0.5002520103712642,0.3037319762510602
135,EWC_Replay,0.8920730974083888,0.4590695871001852,0.29236641221374043
100,iCaRL,0.9013744902933352,0.27043959634575443,0.21772688719253602
240,iCaRL,0.8998179025191537,0.2270279667413541,0.1706530958439355
575,iCaRL,0.8955596994526273,0.19269420452345498,0.14715860899067004
1378,iCaRL,0.9008996969736168,0.20864751653739447,0.14452926208651398
135,iCaRL,0.8994658964824948,0.28444233401691077,0.20381679389312973
100,LUCIR,0.8979011322173288,0.3999298757044369,0.26649703138252756
240,LUCIR,0.8974203409991274,0.3911075059367151,0.27905004240882103
575,LUCIR,0.9049702984641267,0.3819653792629083,0.2804071246819338
1378,LUCIR,0.8941938868908242,0.3840661087542521,0.2526717557251908
135,LUCIR,0.9017921652323583,0.3699107658605821,0.2970313825275657
100,VAE_BBox,0.8897996376789682,0.7432006968819033,0.5366921119592875
240,VAE_BBox,0.8897996376789682,0.7432006968819033,0.5366921119592875
575,VAE_BBox,0.8897996376789682,0.7432006968819033,0.5366921119592875
1378,VAE_BBox,0.8897996376789682,0.7432006968819033,0.5366921119592875
135,VAE_BBox,0.8897996376789682,0.7432006968819033,0.5366921119592875
100,VAE_Filter,0.89149786175964,0.7450795353475086,0.546055979643766
240,VAE_Filter,0.89149786175964,0.7450795353475086,0.546055979643766
575,VAE_Filter,0.89149786175964,0.7450795353475086,0.546055979643766
1378,VAE_Filter,0.89149786175964,0.7450795353475086,0.546055979643766
135,VAE_Filter,0.89149786175964,0.7450795353475086,0.546055979643766
100,VAE_GMM,0.8922280384067023,0.8005101843464223,0.6070737913486005
240,VAE_GMM,0.8922280384067023,0.8005101843464223,0.6070737913486005
575,VAE_GMM,0.8922280384067023,0.8005101843464223,0.6070737913486005
1378,VAE_GMM,0.8922280384067023,0.8005101843464223,0.6070737913486005
135,VAE_GMM,0.8922280384067023,0.8005101843464223,0.6070737913486005
