Exemplar_Size,Method,Task 2
100,Random,0.923124619467469
240,Random,0.9073898727135563
575,Random,0.8801482075998941
1378,Random,0.8645538757931139
95,Random,0.9267193699609885
100,EWC_Replay,0.9239706260708151
240,EWC_Replay,0.9073053612833704
575,EWC_Replay,0.8787390260105995
1378,EWC_Replay,0.8594056452877115
95,EWC_Replay,0.9217390641021127
100,iCaRL,0.19195563402743493
240,iCaRL,0.10496004756771142
575,iCaRL,0.07669240435913348
1378,iCaRL,0.046566187749326485
95,iCaRL,0.20242114126957736
100,LUCIR,0.6211362417449809
240,LUCIR,0.6059448604971026
575,LUCIR,0.5005117162030303
1378,LUCIR,0.5071325438979215
95,LUCIR,0.6407224992852784
100,VAE_BBox,0.9280342214670078
240,VAE_BBox,0.9280342214670078
575,VAE_BBox,0.9280342214670078
1378,VAE_BBox,0.9280342214670078
95,VAE_BBox,0.9280342214670078
100,VAE_Filter,0.9284185693392366
240,VAE_Filter,0.9284185693392366
575,VAE_Filter,0.9284185693392366
1378,VAE_Filter,0.9284185693392366
95,VAE_Filter,0.9284185693392366
100,VAE_GMM,0.9280170106129635
240,VAE_GMM,0.9280170106129635
575,VAE_GMM,0.9280170106129635
1378,VAE_GMM,0.9280170106129635
95,VAE_GMM,0.9280170106129635
