Exemplar_Size,Method,Task 2,Task 3,Task 4,Task 5
100,Random,0.2961162617072081,0.28809125794144413,0.20012194578415105,0.1755843667778403
303,Random,0.37091929290066034,0.29020239308124546,0.21887717304327672,0.17673698244408545
921,Random,0.4493410452754845,0.32650869733495685,0.24587766097429167,0.23262317877989513
2795,Random,0.4112306234145576,0.34586834916363757,0.29704681992394794,0.22572698765948487
215,Random,0.37581489330039325,0.27971108322381544,0.20550126893412476,0.1853694504138682
100,EWC_Replay,0.2925731708393993,0.2481814289041804,0.19797456163332303,0.1835423951900057
303,EWC_Replay,0.3052347825360322,0.2763426019694899,0.23679825472612295,0.1813540192216445
921,EWC_Replay,0.4644807729159527,0.3566443921531847,0.28388108826090325,0.20985227521182012
2795,EWC_Replay,0.3882976011719268,0.3464255359611128,0.2757729102425038,0.23849453205359808
215,EWC_Replay,0.3149281365577254,0.2734745245141252,0.22936441715840125,0.18563654634698956
100,iCaRL,0.4001647189555146,0.2693331240209572,0.1834992054514431,0.14514232694900678
303,iCaRL,0.4561880670432355,0.2834932732640094,0.1888163643597044,0.16317080357881034
921,iCaRL,0.5303141724097526,0.2411110685990975,0.20451076137861757,0.1591380285431998
2795,iCaRL,0.5348702363830982,0.26042585328970164,0.18119553782139255,0.13591905510674734
215,iCaRL,0.4339795971504826,0.26375472650979725,0.18536259016998358,0.14417762984616334
100,LUCIR,0.4513588838987595,0.32895467558760827,0.27014638435381777,0.20191794795342705
303,LUCIR,0.4582684067271091,0.3540127642939,0.30160938542777216,0.23005190101699363
921,LUCIR,0.5385598873764477,0.3769875428929744,0.27778680656230226,0.22910621040412826
2795,LUCIR,0.5447449812354671,0.400397616744385,0.2738047845826482,0.2757248766976191
215,LUCIR,0.40152993264770764,0.3083592645102977,0.25944237279491233,0.21664935847909206
100,VAE_BBox,0.6117092866563021,0.443874581185819,0.3241882005710414,0.232998228268705
303,VAE_BBox,0.6117092866563021,0.443874581185819,0.3241882005710414,0.232998228268705
921,VAE_BBox,0.6117092866563021,0.443874581185819,0.3241882005710414,0.232998228268705
2795,VAE_BBox,0.6117092866563021,0.443874581185819,0.3241882005710414,0.232998228268705
215,VAE_BBox,0.6117092866563021,0.443874581185819,0.3241882005710414,0.232998228268705
100,VAE_Filter,0.5983548537912705,0.42714694255154667,0.2996540748836506,0.23552802533340908
303,VAE_Filter,0.5983548537912705,0.42714694255154667,0.2996540748836506,0.23552802533340908
921,VAE_Filter,0.5983548537912705,0.42714694255154667,0.2996540748836506,0.23552802533340908
2795,VAE_Filter,0.5983548537912705,0.42714694255154667,0.2996540748836506,0.23552802533340908
215,VAE_Filter,0.5983548537912705,0.42714694255154667,0.2996540748836506,0.23552802533340908
100,VAE_GMM,0.8607580687407844,0.6693428101046911,0.49337396494087343,0.37533514554284536
303,VAE_GMM,0.8607580687407844,0.6693428101046911,0.49337396494087343,0.37533514554284536
921,VAE_GMM,0.8607580687407844,0.6693428101046911,0.49337396494087343,0.37533514554284536
2795,VAE_GMM,0.8607580687407844,0.6693428101046911,0.49337396494087343,0.37533514554284536
215,VAE_GMM,0.8607580687407844,0.6693428101046911,0.49337396494087343,0.37533514554284536
