Exemplar_Size,Method,Task 2,Task 3,Task 4,Task 5
100,Random,0.9781528170144522,0.9835917473090622,0.9803729202040087,0.9872017513240554
300,Random,0.9683537977986397,0.9702554812734293,0.9541271031127453,0.9721162526383748
898,Random,0.9495873760062232,0.9635493992409646,0.9664586385521624,0.9581848811194402
2692,Random,0.9498326494581436,0.9371718998976526,0.9388052913875745,0.9280567694853232
215,Random,0.9738958502798964,0.971516426455741,0.9750092096397129,0.9772165296546624
100,EWC_Replay,0.9779434950567655,0.9780642435947097,0.9832773646707184,0.985410088817717
300,EWC_Replay,0.9683384819036464,0.9439682045483501,0.9600214004781432,0.9739434137826027
898,EWC_Replay,0.9509445956828354,0.9657155606683164,0.9606952905792348,0.9455350452426144
2692,EWC_Replay,0.9429380912336114,0.9402075876584285,0.9366650664670984,0.9314528987671667
215,EWC_Replay,0.9699920912408454,0.9719203495749921,0.9743965791608145,0.9740806095126966
100,iCaRL,0.8705438158085809,0.8571457106571604,0.9017230447486771,0.8943219759060093
300,iCaRL,0.8539160129003339,0.8325846385003578,0.900438048096697,0.8935560918677
898,iCaRL,0.7829432340241733,0.8337652408185077,0.8959321035292999,0.8674266626740026
2692,iCaRL,0.6907676831755639,0.7574812309704656,0.9052138452200087,0.8773499414239734
215,iCaRL,0.8083980997185622,0.841531079076195,0.900028015947835,0.8906378382946953
100,LUCIR,0.7930148546233127,0.8509368840280612,0.9493556756960547,0.9362035111545616
300,LUCIR,0.7960343620382395,0.8292619767310885,0.9080768732337187,0.9096850058827483
898,LUCIR,0.7472758379900906,0.8261370022269062,0.8863462892580899,0.8428447206369144
2692,LUCIR,0.7379096991497195,0.6819180986105909,0.7905560990576074,0.8336047694219239
215,LUCIR,0.7822972571666077,0.9135381631890808,0.9616359859128344,0.9254953890409497
100,VAE_BBox,0.9849394222386215,0.9952247543134595,0.9908285850234879,0.991896960904661
300,VAE_BBox,0.9849394222386215,0.9952247543134595,0.9908285850234879,0.991896960904661
898,VAE_BBox,0.9849394222386215,0.9952247543134595,0.9908285850234879,0.991896960904661
2692,VAE_BBox,0.9849394222386215,0.9952247543134595,0.9908285850234879,0.991896960904661
215,VAE_BBox,0.9849394222386215,0.9952247543134595,0.9908285850234879,0.991896960904661
100,VAE_Filter,0.9851792359216505,0.9950439089023413,0.9958480008351602,0.9990011123470522
300,VAE_Filter,0.9851792359216505,0.9950439089023413,0.9958480008351602,0.9990011123470522
898,VAE_Filter,0.9851792359216505,0.9950439089023413,0.9958480008351602,0.9990011123470522
2692,VAE_Filter,0.9851792359216505,0.9950439089023413,0.9958480008351602,0.9990011123470522
215,VAE_Filter,0.9851792359216505,0.9950439089023413,0.9958480008351602,0.9990011123470522
100,VAE_GMM,0.9839422555766378,0.9964240709660763,0.9985585134147615,0.9979270382729782
300,VAE_GMM,0.9839422555766378,0.9964240709660763,0.9985585134147615,0.9979270382729782
898,VAE_GMM,0.9839422555766378,0.9964240709660763,0.9985585134147615,0.9979270382729782
2692,VAE_GMM,0.9839422555766378,0.9964240709660763,0.9985585134147615,0.9979270382729782
215,VAE_GMM,0.9839422555766378,0.9964240709660763,0.9985585134147615,0.9979270382729782
