Exemplar_Size,Method,Task 1,Task 2,Task 3
100,Random,0.9634584596424457,0.6076071073669671,0.40845253576072815
300,Random,0.9609597508181328,0.6301126550166831,0.4149978326831382
898,Random,0.9618549520279905,0.6680748746972547,0.47243172951885565
2692,Random,0.9620118714814616,0.6692922864198864,0.4675769397485912
135,Random,0.9604967584391104,0.6314010372203694,0.4158647594278283
100,EWC_Replay,0.9567810517720793,0.6087591465413176,0.40463805808409187
300,EWC_Replay,0.9572919013422642,0.6437283880970096,0.447420892934547
898,EWC_Replay,0.9589938682709984,0.6696633094575046,0.4774599046380581
2692,EWC_Replay,0.9608424232709651,0.6570664769928818,0.46636324230602516
135,EWC_Replay,0.9608334949391357,0.6274056778693897,0.4452102297355873
100,iCaRL,0.9630684136602764,0.5896369012121137,0.37412223667100125
300,iCaRL,0.9645372288176913,0.5557692038438137,0.3900303424360641
898,iCaRL,0.9635580437254015,0.4908856118350345,0.37260511486779363
2692,iCaRL,0.9642274170538488,0.49394554463779805,0.35626354573038577
135,iCaRL,0.9634051500656853,0.5880349923704283,0.3957087126137841
100,LUCIR,0.9641766211345523,0.6308816228214584,0.45387949718248805
300,LUCIR,0.9650310731366677,0.677628285296248,0.4481577806675336
898,LUCIR,0.9637853181760171,0.6282773318236342,0.4517121803207628
2692,LUCIR,0.9645545445224836,0.6119302013752334,0.43519722583441695
135,LUCIR,0.9660325836707173,0.6652064443583167,0.44299956653662764
100,VAE_BBox,0.9594653693661761,0.8014817735691985,0.5691287386215864
300,VAE_BBox,0.9594653693661761,0.8014817735691985,0.5691287386215864
898,VAE_BBox,0.9594653693661761,0.8014817735691985,0.5691287386215864
2692,VAE_BBox,0.9594653693661761,0.8014817735691985,0.5691287386215864
135,VAE_BBox,0.9594653693661761,0.8014817735691985,0.5691287386215864
100,VAE_Filter,0.9594346736580225,0.8066338590482631,0.5591330732553099
300,VAE_Filter,0.9594346736580225,0.8066338590482631,0.5591330732553099
898,VAE_Filter,0.9594346736580225,0.8066338590482631,0.5591330732553099
2692,VAE_Filter,0.9594346736580225,0.8066338590482631,0.5591330732553099
135,VAE_Filter,0.9594346736580225,0.8066338590482631,0.5591330732553099
100,VAE_GMM,0.959150603975974,0.8758580067991429,0.7380320762895535
300,VAE_GMM,0.959150603975974,0.8758580067991429,0.7380320762895535
898,VAE_GMM,0.959150603975974,0.8758580067991429,0.7380320762895535
2692,VAE_GMM,0.959150603975974,0.8758580067991429,0.7380320762895535
135,VAE_GMM,0.959150603975974,0.8758580067991429,0.7380320762895535
