Exemplar_Size,Method,Task 2,Task 3,Task 4
100,Random,0.9821950500536846,0.9875650283334603,0.9844195779764396
303,Random,0.9727228287854389,0.9688211080364233,0.9742356879851978
921,Random,0.9657301203842011,0.9618049077250203,0.9610639943753427
2795,Random,0.9651615570646622,0.9561165427999254,0.9552883789496015
175,Random,0.9765927036698152,0.9857144481928014,0.9826873297934036
100,EWC_Replay,0.9804616600407529,0.9857954315751577,0.9841384574127555
303,EWC_Replay,0.9735848154988603,0.9654530702185621,0.9782954109139852
921,EWC_Replay,0.9695610263410505,0.9556840322851324,0.9656600617951899
2795,EWC_Replay,0.9641795899085902,0.9583105124134514,0.9522098294577523
175,EWC_Replay,0.9774065710156348,0.9868703707662717,0.9806616059720863
100,iCaRL,0.827212304013855,0.8960179562942815,0.8981613410873932
303,iCaRL,0.7634008169103221,0.8786175093760078,0.8880053395195763
921,iCaRL,0.775676223351011,0.8898612296612629,0.8944252745070637
2795,iCaRL,0.7029072798010548,0.8864161876826289,0.8901817991347578
175,iCaRL,0.847584723862403,0.8902170668719119,0.9207321003032555
100,LUCIR,0.8947971142567954,0.9242490738385742,0.9252060183650098
303,LUCIR,0.9332161751253334,0.9154899451469215,0.9315304511408727
921,LUCIR,0.9304156798238856,0.8976233262497904,0.9156724657674712
2795,LUCIR,0.8858760665320335,0.8948408528722235,0.9152455094576015
175,LUCIR,0.8946811533410007,0.9291268356871298,0.9638661998274796
100,VAE_BBox,0.9841836908289243,0.9964258715278188,0.9974367872862094
303,VAE_BBox,0.9841836908289243,0.9964258715278188,0.9974367872862094
921,VAE_BBox,0.9841836908289243,0.9964258715278188,0.9974367872862094
2795,VAE_BBox,0.9841836908289243,0.9964258715278188,0.9974367872862094
175,VAE_BBox,0.9841836908289243,0.9964258715278188,0.9974367872862094
100,VAE_Filter,0.9856833639174992,0.9972894312385417,0.9944058410725077
303,VAE_Filter,0.9856833639174992,0.9972894312385417,0.9944058410725077
921,VAE_Filter,0.9856833639174992,0.9972894312385417,0.9944058410725077
2795,VAE_Filter,0.9856833639174992,0.9972894312385417,0.9944058410725077
175,VAE_Filter,0.9856833639174992,0.9972894312385417,0.9944058410725077
100,VAE_GMM,0.9865349589989191,0.9951929387484942,0.9963698131081241
303,VAE_GMM,0.9865349589989191,0.9951929387484942,0.9963698131081241
921,VAE_GMM,0.9865349589989191,0.9951929387484942,0.9963698131081241
2795,VAE_GMM,0.9865349589989191,0.9951929387484942,0.9963698131081241
175,VAE_GMM,0.9865349589989191,0.9951929387484942,0.9963698131081241
