Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4
100,Random,0.9433517326523345,0.4983653887232957,0.33356262257792413,0.3137407889033376
300,Random,0.9450774040729863,0.5417919064222666,0.3998287769148202,0.3499783268313827
898,Random,0.9422610805090091,0.5728445102414347,0.3830512657503903,0.3288253142609449
2692,Random,0.9398543739489175,0.6056066134928374,0.4300906200087206,0.37308192457737316
175,Random,0.9354273126288873,0.5239207323722106,0.3675180237031284,0.3032943216298223
100,EWC_Replay,0.9455509355434254,0.49936167933535497,0.37482396378440846,0.2815778066753359
300,EWC_Replay,0.9427999134947072,0.5456422104214463,0.37848012122222807,0.3481577806675336
898,EWC_Replay,0.9450408391453227,0.5889378660880958,0.40655373626304325,0.3470307758994365
2692,EWC_Replay,0.9426707088441558,0.581168130255609,0.4057926397063451,0.3367576939748591
175,EWC_Replay,0.9424242386158111,0.559097687007293,0.3868667460256991,0.3320762895535327
100,iCaRL,0.9514619115918473,0.5119412394367834,0.34748616966590257,0.28196792371044643
300,iCaRL,0.9513601430953279,0.5130929467966504,0.3429980235873578,0.25361941915908104
898,iCaRL,0.9514618970371073,0.5049647923064026,0.32987054736351445,0.26818378846987423
2692,iCaRL,0.9524760409112483,0.4842113514149132,0.306721968675769,0.2498049414824447
175,iCaRL,0.9513616106508473,0.4938204137342962,0.3099618281212317,0.27858690940615516
100,LUCIR,0.9527661433050086,0.6152293387998646,0.4100702571591885,0.3116601647160815
300,LUCIR,0.9521993824398716,0.5869476532626475,0.4243726063496348,0.34217598612917205
898,LUCIR,0.95158953843302,0.5863878030930718,0.41063602305766633,0.3237971391417425
2692,LUCIR,0.9394290603061195,0.5748228960924056,0.4120186517158297,0.364976159514521
175,LUCIR,0.9522379718912238,0.5940378782408974,0.38919463665801957,0.32188990030342435
100,VAE_BBox,0.942155725477886,0.7333290698626905,0.5051038096342368,0.4117121803207629
300,VAE_BBox,0.942155725477886,0.7333290698626905,0.5051038096342368,0.4117121803207629
898,VAE_BBox,0.942155725477886,0.7333290698626905,0.5051038096342368,0.4117121803207629
2692,VAE_BBox,0.942155725477886,0.7333290698626905,0.5051038096342368,0.4117121803207629
175,VAE_BBox,0.942155725477886,0.7333290698626905,0.5051038096342368,0.4117121803207629
100,VAE_Filter,0.9435403584936611,0.7286543846154423,0.4920819179219247,0.40800173385348937
300,VAE_Filter,0.9435403584936611,0.7286543846154423,0.4920819179219247,0.40800173385348937
898,VAE_Filter,0.9435403584936611,0.7286543846154423,0.4920819179219247,0.40800173385348937
2692,VAE_Filter,0.9435403584936611,0.7286543846154423,0.4920819179219247,0.40800173385348937
175,VAE_Filter,0.9435403584936611,0.7286543846154423,0.4920819179219247,0.40800173385348937
100,VAE_GMM,0.9428652543587436,0.8283882839907424,0.6775541307112085,0.5356913740788903
300,VAE_GMM,0.9428652543587436,0.8283882839907424,0.6775541307112085,0.5356913740788903
898,VAE_GMM,0.9428652543587436,0.8283882839907424,0.6775541307112085,0.5356913740788903
2692,VAE_GMM,0.9428652543587436,0.8283882839907424,0.6775541307112085,0.5356913740788903
175,VAE_GMM,0.9428652543587436,0.8283882839907424,0.6775541307112085,0.5356913740788903
