dataset,scenario,person,method,vae_sampling,filter,iteration,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time
realworld,211,2, ce_ewc_random,none, none,0,100,1.764229324956735,7.05691729982694,0.053406445061167,0.2136257802446683
realworld,211,2, ce_ewc_random,none, none,0,299,1.8559254653907071,7.4237018615628285,0.0669773641197631,0.2679094564790527
realworld,211,2, ce_ewc_random,none, none,0,894,2.0310963181882267,8.124385272752907,0.0846708010985619,0.3386832043942478
realworld,211,2, ce_ewc_random,none, none,0,2674,2.3725213550186406,9.490085420074562,0.1147599944844841,0.4590399779379367
realworld,211,2, ce_ewc_random,none, none,0,175,1.7570515017413224,7.02820600696529,0.0635202821887408,0.2540811287549634
realworld,211,2, ce_ewc_random,none, none,1,100,1.834726662778606,7.338906651114424,0.0515064156614244,0.2060256626456976
realworld,211,2, ce_ewc_random,none, none,1,299,1.9031616024207323,7.612646409682929,0.0658647610185047,0.2634590440740188
realworld,211,2, ce_ewc_random,none, none,1,894,2.066672220919281,8.266688883677125,0.0844773097377684,0.3379092389510738
realworld,211,2, ce_ewc_random,none, none,1,2674,2.423586249343741,9.694344997374962,0.1150439671939238,0.4601758687756955
realworld,211,2, ce_ewc_random,none, none,1,175,1.8534184662858024,7.41367386514321,0.0566978868019456,0.2267915472077826
realworld,211,2, ce_ewc_random,none, none,2,100,1.7019040656276048,6.807616262510419,0.0505221954546868,0.2020887818187475
realworld,211,2, ce_ewc_random,none, none,2,299,1.8017359626169005,7.206943850467602,0.0664487017784267,0.265794807113707
realworld,211,2, ce_ewc_random,none, none,2,894,1.991964933141652,7.967859732566608,0.0863985373224649,0.3455941492898596
realworld,211,2, ce_ewc_random,none, none,2,2674,2.3554529091343284,9.421811636537312,0.1188787930334607,0.4755151721338431
realworld,211,2, ce_ewc_random,none, none,2,175,1.871314087533392,7.485256350133568,0.0576993371980885,0.2307973487923542
realworld,211,2, ce_ewc_random,none, none,3,100,1.7677245042907694,7.070898017163078,0.0667032131925225,0.2668128527700901
realworld,211,2, ce_ewc_random,none, none,3,299,1.8974902578008672,7.589961031203469,0.0727942435226092,0.2911769740904371
realworld,211,2, ce_ewc_random,none, none,3,894,2.086629416824629,8.346517667298516,0.0886181492048005,0.3544725968192021
realworld,211,2, ce_ewc_random,none, none,3,2674,2.425522357054676,9.702089428218702,0.1190391258647044,0.4761565034588178
realworld,211,2, ce_ewc_random,none, none,3,175,1.8008889272576198,7.203555709030479,0.0562251729425042,0.2249006917700171
realworld,211,2, ce_ewc_random,none, none,4,100,1.7990523017011584,7.1962092068046335,0.0587527466006577,0.2350109864026308
realworld,211,2, ce_ewc_random,none, none,4,299,1.878798145490388,7.515192581961553,0.0690196213778108,0.2760784855112433
realworld,211,2, ce_ewc_random,none, none,4,894,2.083066439607905,8.33226575843162,0.0884205986021293,0.3536823944085174
realworld,211,2, ce_ewc_random,none, none,4,2674,2.441059504860702,9.764238019442807,0.117297392959396,0.4691895718375842
realworld,211,2, ce_ewc_random,none, none,4,175,1.7877855395354951,7.1511421581419805,0.0571973969694227,0.2287895878776908
realworld,211,2, ce_random,none, none,0,100,1.1894098425904909,4.757639370361964,0.0588289594898621,0.2353158379594485
realworld,211,2, ce_random,none, none,0,299,1.2122992752896,4.8491971011584,0.06901461975649,0.27605847902596
realworld,211,2, ce_random,none, none,0,894,1.32493269023382,5.29973076093528,0.0856753360066149,0.3427013440264596
realworld,211,2, ce_random,none, none,0,2674,1.5073850926089412,6.029540370435765,0.11694711415718,0.46778845662872
realworld,211,2, ce_random,none, none,0,175,1.0756085378893965,4.302434151557585,0.0601308309240266,0.2405233236961066
realworld,211,2, ce_random,none, none,1,100,1.1044001935981214,4.417600774392485,0.0585244199881951,0.2340976799527804
realworld,211,2, ce_random,none, none,1,299,1.1677767711846778,4.671107084738711,0.0693798828249176,0.2775195312996705
realworld,211,2, ce_random,none, none,1,894,1.2436401451730894,4.974560580692358,0.0858501696027815,0.3434006784111261
realworld,211,2, ce_random,none, none,1,2674,1.430181444964061,5.720725779856244,0.1165483643999323,0.4661934575997293
realworld,211,2, ce_random,none, none,1,175,1.0336834106206274,4.13473364248251,0.0548119947857533,0.2192479791430135
realworld,211,2, ce_random,none, none,2,100,1.189559818059206,4.758239272236824,0.0573103478799263,0.2292413915197054
realworld,211,2, ce_random,none, none,2,299,1.201824343421807,4.807297373687228,0.0678132572987427,0.2712530291949709
realworld,211,2, ce_random,none, none,2,894,1.2940776416307522,5.176310566523009,0.0855711044226255,0.3422844176905023
realworld,211,2, ce_random,none, none,2,2674,1.473213125920544,5.892852503682176,0.1149976324522867,0.4599905298091471
realworld,211,2, ce_random,none, none,2,175,1.146545420602585,4.58618168241034,0.0552615373783434,0.2210461495133737
realworld,211,2, ce_random,none, none,3,100,1.1873254544412095,4.749301817764839,0.0573072446820636,0.2292289787282546
