Exemplar_Size,Method,Task 2,Task 3
100,Random,0.9702420729636916,0.9756527954435452
300,Random,0.962603694075979,0.9672569292904883
898,Random,0.959612403668886,0.9577799328602961
2692,Random,0.938473454031682,0.925291051039271
135,Random,0.9702921831383345,0.9727861791209443
100,EWC_Replay,0.9692825228439462,0.9779850336274268
300,EWC_Replay,0.964795996573921,0.9677119565378441
898,EWC_Replay,0.9577870996834243,0.9560000923736784
2692,EWC_Replay,0.9351638718665574,0.9241542375935882
135,EWC_Replay,0.9702002113475988,0.9738864840620237
100,iCaRL,0.8572375296242378,0.941531072736637
300,iCaRL,0.8126417982129397,0.8596069570889224
898,iCaRL,0.6678552220449584,0.8461778357274689
2692,iCaRL,0.6346340960449581,0.8043274562711217
135,iCaRL,0.8427781097399325,0.9106019986584862
100,LUCIR,0.9148833496335992,0.9718866898037397
300,LUCIR,0.9330544028387214,0.9572989594319792
898,LUCIR,0.8391265627370348,0.9251274904386351
2692,LUCIR,0.757980157297767,0.8427324136929385
135,LUCIR,0.894774005773541,0.946144273273062
100,VAE_BBox,0.9771895415171105,0.9801010303092191
300,VAE_BBox,0.9771895415171105,0.9801010303092191
898,VAE_BBox,0.9771895415171105,0.9801010303092191
2692,VAE_BBox,0.9771895415171105,0.9801010303092191
135,VAE_BBox,0.9771895415171105,0.9801010303092191
100,VAE_Filter,0.9759616873503434,0.9804640558313921
300,VAE_Filter,0.9759616873503434,0.9804640558313921
898,VAE_Filter,0.9759616873503434,0.9804640558313921
2692,VAE_Filter,0.9759616873503434,0.9804640558313921
135,VAE_Filter,0.9759616873503434,0.9804640558313921
100,VAE_GMM,0.9799363398705924,0.981062503454709
300,VAE_GMM,0.9799363398705924,0.981062503454709
898,VAE_GMM,0.9799363398705924,0.981062503454709
2692,VAE_GMM,0.9799363398705924,0.981062503454709
135,VAE_GMM,0.9799363398705924,0.981062503454709
