Exemplar_Size,Method,Task 2,Task 3
100,Random,0.44933477272070804,0.24213488295916583
299,Random,0.49271566477944867,0.32353693734505856
894,Random,0.5273740346764371,0.3419231791739407
2674,Random,0.5320026399919038,0.3477652773916098
135,Random,0.4383817620599917,0.2814683367598803
100,EWC_Replay,0.4225983519234077,0.2474063808388925
299,EWC_Replay,0.45516911052576847,0.3096213124191147
894,EWC_Replay,0.5898972123563212,0.3288455912295581
2674,EWC_Replay,0.5198758796311072,0.3612963097882747
135,EWC_Replay,0.45072910194931265,0.26401281651221203
100,iCaRL,0.5041605853362656,0.22294615804936155
299,iCaRL,0.4518416695993812,0.19927445941465854
894,iCaRL,0.49053305317825857,0.2294780183797148
2674,iCaRL,0.5577346258483834,0.1951208152944188
135,iCaRL,0.4764555071551742,0.20263403358192159
100,LUCIR,0.45559587667388635,0.2378607028893833
299,LUCIR,0.545367406548893,0.33064747789151544
894,LUCIR,0.5701923297891993,0.3117373344524438
2674,LUCIR,0.5447625099166932,0.3701546115134763
135,LUCIR,0.5688961091916664,0.36481164966559904
100,VAE_BBox,0.7691236892765275,0.5627493948082395
299,VAE_BBox,0.7691236892765275,0.5627493948082395
894,VAE_BBox,0.7691236892765275,0.5627493948082395
2674,VAE_BBox,0.7691236892765275,0.5627493948082395
135,VAE_BBox,0.7691236892765275,0.5627493948082395
100,VAE_Filter,0.7837779984474331,0.5556232079056563
299,VAE_Filter,0.7837779984474331,0.5556232079056563
894,VAE_Filter,0.7837779984474331,0.5556232079056563
2674,VAE_Filter,0.7837779984474331,0.5556232079056563
135,VAE_Filter,0.7837779984474331,0.5556232079056563
100,VAE_GMM,0.9294438932688653,0.7511389434317565
299,VAE_GMM,0.9294438932688653,0.7511389434317565
894,VAE_GMM,0.9294438932688653,0.7511389434317565
2674,VAE_GMM,0.9294438932688653,0.7511389434317565
135,VAE_GMM,0.9294438932688653,0.7511389434317565
