Exemplar_Size,Method,Task 2
100,Random,0.9637296045980285
300,Random,0.9565600530038267
898,Random,0.9517469815757081
2692,Random,0.9224433772918921
95,Random,0.9643703668731994
100,EWC_Replay,0.9663316869573292
300,EWC_Replay,0.959336674320195
898,EWC_Replay,0.9498632364248315
2692,EWC_Replay,0.9234682114686692
95,EWC_Replay,0.962984360017255
100,iCaRL,0.7653539972932951
300,iCaRL,0.6441361590096906
898,iCaRL,0.42601582876417343
2692,iCaRL,0.25455834127562493
95,iCaRL,0.7264639019130038
100,LUCIR,0.8863627909270501
300,LUCIR,0.8620267472048255
898,LUCIR,0.7414644615088772
2692,LUCIR,0.6657029271491717
95,LUCIR,0.8908364221129456
100,VAE_BBox,0.962456355919124
300,VAE_BBox,0.962456355919124
898,VAE_BBox,0.962456355919124
2692,VAE_BBox,0.962456355919124
95,VAE_BBox,0.962456355919124
100,VAE_Filter,0.9623055235431583
300,VAE_Filter,0.9623055235431583
898,VAE_Filter,0.9623055235431583
2692,VAE_Filter,0.9623055235431583
95,VAE_Filter,0.9623055235431583
100,VAE_GMM,0.9640199300259064
300,VAE_GMM,0.9640199300259064
898,VAE_GMM,0.9640199300259064
2692,VAE_GMM,0.9640199300259064
95,VAE_GMM,0.9640199300259064
