Exemplar_Size,Method,Task 2
100,Random,0.19406020997315493
300,Random,0.25517045525181936
898,Random,0.29069617169243883
2692,Random,0.3570070619600767
95,Random,0.21198834313979514
100,EWC_Replay,0.24323546393762926
300,EWC_Replay,0.28158865819310624
898,EWC_Replay,0.3291407000031637
2692,EWC_Replay,0.332788804696012
95,EWC_Replay,0.22323199622140114
100,iCaRL,0.2840042079384931
300,iCaRL,0.3100468595937339
898,iCaRL,0.2974027387825532
2692,iCaRL,0.33231424829285205
95,iCaRL,0.2850995737233752
100,LUCIR,0.27122779464333563
300,LUCIR,0.3091850208174758
898,LUCIR,0.3995262341325063
2692,LUCIR,0.4220827231843843
95,LUCIR,0.3033000988167641
100,VAE_BBox,0.5502727984513754
300,VAE_BBox,0.5502727984513754
898,VAE_BBox,0.5502727984513754
2692,VAE_BBox,0.5502727984513754
95,VAE_BBox,0.5502727984513754
100,VAE_Filter,0.5579018632332279
300,VAE_Filter,0.5579018632332279
898,VAE_Filter,0.5579018632332279
2692,VAE_Filter,0.5579018632332279
95,VAE_Filter,0.5579018632332279
100,VAE_GMM,0.7316416690267932
300,VAE_GMM,0.7316416690267932
898,VAE_GMM,0.7316416690267932
2692,VAE_GMM,0.7316416690267932
95,VAE_GMM,0.7316416690267932
