Exemplar_Size,Method,Task 2
100,EWC_Replay,0.9853658536585366
100,EWC_Replay,0.9767441860465116
100,EWC_Replay,1.0
100,EWC_Replay,0.972093023255814
100,EWC_Replay,0.980487804878049
100,EWC_Replay,0.9627906976744184
100,EWC_Replay,0.9951219512195122
100,EWC_Replay,0.9794871794871796
100,EWC_Replay,0.980952380952381
100,EWC_Replay,0.9692307692307692
100,EWC_Replay,0.9767441860465116
100,EWC_Replay,1.0
100,EWC_Replay,0.9684210526315792
100,EWC_Replay,0.981818181818182
100,EWC_Replay,0.9463414634146344
100,EWC_Replay,0.9761904761904764
100,EWC_Replay,0.9761904761904764
100,EWC_Replay,0.9681818181818184
100,EWC_Replay,0.9951219512195122
100,EWC_Replay,0.9641025641025642
100,EWC_Replay,0.99
100,EWC_Replay,0.972093023255814
100,EWC_Replay,0.9860465116279068
100,EWC_Replay,0.9794871794871796
100,EWC_Replay,0.9853658536585366
100,EWC_Replay,0.945945945945946
100,EWC_Replay,0.9743589743589745
100,EWC_Replay,0.9863636363636366
100,EWC_Replay,0.95
100,EWC_Replay,1.0
142,EWC_Replay,0.9951219512195122
142,EWC_Replay,0.9860465116279068
142,EWC_Replay,1.0
142,EWC_Replay,0.9813953488372092
142,EWC_Replay,0.9951219512195122
142,EWC_Replay,0.9767441860465116
142,EWC_Replay,0.9951219512195122
142,EWC_Replay,0.9743589743589745
142,EWC_Replay,0.9666666666666668
142,EWC_Replay,0.9897435897435898
142,EWC_Replay,0.9813953488372092
142,EWC_Replay,0.9952380952380953
142,EWC_Replay,0.9789473684210528
142,EWC_Replay,0.981818181818182
142,EWC_Replay,0.9414634146341464
142,EWC_Replay,0.961904761904762
142,EWC_Replay,0.9761904761904764
142,EWC_Replay,0.9772727272727272
142,EWC_Replay,0.975609756097561
142,EWC_Replay,0.9897435897435898
142,EWC_Replay,0.995
142,EWC_Replay,0.9813953488372092
142,EWC_Replay,0.9813953488372092
142,EWC_Replay,0.9692307692307692
142,EWC_Replay,0.9951219512195122
142,EWC_Replay,0.9513513513513514
142,EWC_Replay,0.9794871794871796
142,EWC_Replay,0.9772727272727272
142,EWC_Replay,0.96
142,EWC_Replay,0.9853658536585366
201,EWC_Replay,0.9902439024390244
201,EWC_Replay,0.9860465116279068
201,EWC_Replay,1.0
201,EWC_Replay,0.9767441860465116
201,EWC_Replay,0.9951219512195122
201,EWC_Replay,0.9627906976744184
201,EWC_Replay,0.9853658536585366
201,EWC_Replay,0.9692307692307692
201,EWC_Replay,0.9761904761904764
201,EWC_Replay,0.9538461538461538
201,EWC_Replay,0.9674418604651164
201,EWC_Replay,0.9952380952380953
201,EWC_Replay,0.9842105263157896
201,EWC_Replay,0.9772727272727272
201,EWC_Replay,0.951219512195122
201,EWC_Replay,0.9714285714285716
201,EWC_Replay,0.9857142857142858
201,EWC_Replay,0.9772727272727272
201,EWC_Replay,0.9902439024390244
201,EWC_Replay,0.9897435897435898
201,EWC_Replay,0.98
201,EWC_Replay,0.9813953488372092
201,EWC_Replay,0.9860465116279068
201,EWC_Replay,0.953846153846154
201,EWC_Replay,0.9804878048780488
201,EWC_Replay,0.9783783783783784
201,EWC_Replay,0.9897435897435898
201,EWC_Replay,0.9863636363636366
201,EWC_Replay,0.965
201,EWC_Replay,0.9951219512195122
286,EWC_Replay,1.0
286,EWC_Replay,0.9813953488372092
286,EWC_Replay,0.9789473684210528
286,EWC_Replay,0.972093023255814
286,EWC_Replay,0.9853658536585368
286,EWC_Replay,0.9627906976744184
286,EWC_Replay,0.9951219512195122
286,EWC_Replay,0.9641025641025642
286,EWC_Replay,0.9761904761904764
286,EWC_Replay,0.9692307692307692
286,EWC_Replay,0.9767441860465116
286,EWC_Replay,1.0
286,EWC_Replay,0.968421052631579
286,EWC_Replay,0.9772727272727272
286,EWC_Replay,0.9609756097560976
286,EWC_Replay,0.9761904761904764
286,EWC_Replay,0.980952380952381
286,EWC_Replay,0.9863636363636366
286,EWC_Replay,0.9951219512195122
286,EWC_Replay,0.9897435897435898
286,EWC_Replay,0.99
286,EWC_Replay,0.9767441860465116
286,EWC_Replay,0.9767441860465116
286,EWC_Replay,0.9333333333333336
286,EWC_Replay,0.9951219512195122
286,EWC_Replay,0.9675675675675676
286,EWC_Replay,0.9948717948717948
286,EWC_Replay,0.9727272727272728
286,EWC_Replay,0.94
286,EWC_Replay,0.9902439024390244
135,EWC_Replay,0.9951219512195122
135,EWC_Replay,0.9953488372093025
135,EWC_Replay,0.9947368421052633
135,EWC_Replay,0.972093023255814
135,EWC_Replay,0.9902439024390244
135,EWC_Replay,0.9813953488372092
135,EWC_Replay,0.9951219512195122
135,EWC_Replay,0.9692307692307692
135,EWC_Replay,0.9761904761904764
135,EWC_Replay,0.9641025641025642
135,EWC_Replay,0.972093023255814
135,EWC_Replay,1.0
135,EWC_Replay,0.968421052631579
135,EWC_Replay,0.9818181818181818
135,EWC_Replay,0.9707317073170734
135,EWC_Replay,0.9666666666666668
135,EWC_Replay,0.9809523809523812
135,EWC_Replay,0.9772727272727272
135,EWC_Replay,0.9853658536585366
135,EWC_Replay,0.9948717948717948
135,EWC_Replay,0.995
135,EWC_Replay,0.9767441860465116
135,EWC_Replay,0.9813953488372092
135,EWC_Replay,0.9487179487179488
135,EWC_Replay,0.9902439024390244
135,EWC_Replay,0.9945945945945944
135,EWC_Replay,0.9794871794871796
135,EWC_Replay,0.9772727272727272
135,EWC_Replay,0.96
135,EWC_Replay,0.9951219512195122
100,Random,1.0
100,Random,0.9906976744186048
100,Random,0.9842105263157896
100,Random,0.9813953488372092
100,Random,0.9902439024390244
100,Random,0.972093023255814
100,Random,0.9951219512195122
100,Random,0.9794871794871796
100,Random,0.9714285714285716
100,Random,0.9641025641025642
100,Random,0.9767441860465116
100,Random,1.0
100,Random,0.9473684210526316
100,Random,0.9772727272727272
100,Random,0.9707317073170734
100,Random,0.9714285714285716
100,Random,0.980952380952381
100,Random,0.9818181818181818
100,Random,1.0
100,Random,0.9897435897435898
100,Random,0.965
100,Random,0.9674418604651164
100,Random,0.972093023255814
100,Random,0.9641025641025642
100,Random,0.980487804878049
100,Random,0.9837837837837838
100,Random,0.9794871794871796
100,Random,0.9772727272727272
100,Random,0.9549999999999998
100,Random,1.0
142,Random,0.9951219512195122
142,Random,0.9953488372093025
142,Random,0.9894736842105264
142,Random,0.9674418604651164
142,Random,0.9756097560975612
142,Random,0.972093023255814
142,Random,0.9853658536585366
142,Random,0.917948717948718
142,Random,0.9761904761904764
142,Random,0.9641025641025642
142,Random,0.9767441860465116
142,Random,0.9952380952380953
142,Random,0.973684210526316
142,Random,0.9772727272727272
142,Random,0.951219512195122
142,Random,0.9714285714285716
142,Random,0.9761904761904764
142,Random,0.9818181818181818
142,Random,0.9902439024390244
142,Random,0.9846153846153848
142,Random,0.97
142,Random,0.9767441860465116
142,Random,0.9813953488372092
142,Random,0.9641025641025642
142,Random,1.0
142,Random,0.9675675675675676
142,Random,0.9692307692307692
142,Random,0.9772727272727272
142,Random,0.965
142,Random,0.9951219512195122
201,Random,0.9951219512195122
201,Random,0.9860465116279068
201,Random,0.9789473684210528
201,Random,0.972093023255814
201,Random,0.9951219512195122
201,Random,0.972093023255814
201,Random,0.9951219512195122
201,Random,0.9794871794871796
201,Random,0.9666666666666668
201,Random,0.9897435897435898
201,Random,0.9813953488372092
201,Random,1.0
201,Random,0.9842105263157896
201,Random,0.9727272727272728
201,Random,0.9365853658536588
201,Random,0.9857142857142858
201,Random,0.980952380952381
201,Random,0.9772727272727272
201,Random,1.0
201,Random,0.9794871794871796
201,Random,0.975
201,Random,0.9813953488372092
201,Random,1.0
201,Random,0.9641025641025642
201,Random,0.9902439024390244
201,Random,0.9891891891891892
201,Random,0.9743589743589745
201,Random,0.9772727272727272
201,Random,0.9549999999999998
201,Random,1.0
286,Random,1.0
286,Random,0.9813953488372092
286,Random,0.9842105263157896
286,Random,0.9627906976744184
286,Random,0.9853658536585366
286,Random,0.9813953488372092
286,Random,0.9902439024390244
286,Random,0.9487179487179488
286,Random,0.980952380952381
286,Random,0.9743589743589745
286,Random,0.972093023255814
286,Random,1.0
286,Random,0.9736842105263156
286,Random,0.9863636363636366
286,Random,0.9658536585365856
286,Random,0.9761904761904764
286,Random,0.9761904761904764
286,Random,0.9772727272727272
286,Random,0.9853658536585366
286,Random,0.9948717948717948
286,Random,0.965
286,Random,0.9813953488372092
286,Random,0.9906976744186048
286,Random,0.9589743589743592
286,Random,0.9902439024390244
286,Random,0.972972972972973
286,Random,0.9794871794871796
286,Random,0.9863636363636366
286,Random,0.955
286,Random,0.9951219512195122
135,Random,1.0
135,Random,0.9860465116279068
135,Random,0.9736842105263156
135,Random,0.9813953488372092
135,Random,0.9853658536585366
135,Random,0.9674418604651164
135,Random,0.9951219512195122
135,Random,0.9743589743589745
135,Random,0.961904761904762
135,Random,0.9589743589743592
135,Random,0.9627906976744184
135,Random,0.9952380952380953
135,Random,0.9842105263157894
135,Random,0.9772727272727272
135,Random,0.9707317073170734
135,Random,0.9714285714285716
135,Random,0.9761904761904764
135,Random,0.9727272727272728
135,Random,0.9951219512195122
135,Random,0.9846153846153848
135,Random,0.985
135,Random,0.972093023255814
135,Random,0.9813953488372092
135,Random,0.953846153846154
135,Random,0.9902439024390244
135,Random,0.9837837837837838
135,Random,0.9846153846153848
135,Random,0.9772727272727272
135,Random,0.93
135,Random,1.0
100,iCaRL,0.1902439024390244
100,iCaRL,0.3488372093023256
100,iCaRL,0.6105263157894736
100,iCaRL,0.213953488372093
100,iCaRL,0.375609756097561
100,iCaRL,0.2651162790697674
100,iCaRL,0.3853658536585366
100,iCaRL,0.358974358974359
100,iCaRL,0.4904761904761904
100,iCaRL,0.0512820512820512
100,iCaRL,0.3348837209302325
100,iCaRL,0.5476190476190477
100,iCaRL,0.2368421052631578
100,iCaRL,0.3318181818181818
100,iCaRL,0.2634146341463414
100,iCaRL,0.5952380952380952
100,iCaRL,0.7095238095238094
100,iCaRL,0.509090909090909
100,iCaRL,0.2975609756097561
100,iCaRL,0.4256410256410256
