Exemplar_Size,Method,Task 1,Task 2,Task 3
100,Random,0.9753576902025178,0.7519183925039938,0.4160493827160493
142,Random,0.977172245379142,0.7599429564679785,0.3980246913580246
201,Random,0.976816870868595,0.7591409175158077,0.4064197530864197
286,Random,0.9802165405901039,0.7595611083872718,0.42485596707818923
135,Random,0.9736801818870784,0.7540170436333737,0.3901234567901234
100,EWC_Replay,0.9772678226413859,0.7420234465563702,0.3838683127572016
142,EWC_Replay,0.9755870489663593,0.7528631264355584,0.40049382716049375
201,EWC_Replay,0.9802451686244791,0.755915973987967,0.4000823045267489
286,EWC_Replay,0.9814388259675616,0.7513730836522758,0.4145679012345678
135,EWC_Replay,0.9765409877478844,0.7564896031682687,0.4042798353909465
100,iCaRL,0.9707750199991579,0.4477076395460943,0.2801646090534978
142,iCaRL,0.9752880299776852,0.44112249929370206,0.2641152263374485
201,iCaRL,0.9707332322849564,0.4450884107600525,0.253991769547325
286,iCaRL,0.9709290135152204,0.4540352249447947,0.2623868312757201
135,iCaRL,0.9696646456991285,0.4311127200767235,0.27909465020576124
100,LUCIR,0.6222064591432408,0.6997206785020657,0.3901234567901234
142,LUCIR,0.6464441052774387,0.7082804008984869,0.39810699588477355
201,LUCIR,0.620503540903541,0.7172183138293762,0.42197530864197524
286,LUCIR,0.6138690160414298,0.6950196901917709,0.4060082304526748
135,LUCIR,0.6156415739220337,0.6943323806229864,0.41094650205761313
100,VAE_BBox,0.976264367816092,0.8606542598948218,0.648641975308642
142,VAE_BBox,0.976264367816092,0.8606542598948218,0.648641975308642
201,VAE_BBox,0.976264367816092,0.8606542598948218,0.648641975308642
286,VAE_BBox,0.976264367816092,0.8606542598948218,0.648641975308642
135,VAE_BBox,0.976264367816092,0.8606542598948218,0.648641975308642
100,VAE_Filter,0.9765796527865493,0.8580643864963443,0.66
142,VAE_Filter,0.9765796527865493,0.8580643864963443,0.66
201,VAE_Filter,0.9765796527865493,0.8580643864963443,0.66
286,VAE_Filter,0.9765796527865493,0.8580643864963443,0.66
135,VAE_Filter,0.9765796527865493,0.8580643864963443,0.66
100,VAE_GMM,0.9732183089366998,0.9027841135549651,0.7530041152263375
142,VAE_GMM,0.9732183089366998,0.9027841135549651,0.7530041152263375
201,VAE_GMM,0.9732183089366998,0.9027841135549651,0.7530041152263375
286,VAE_GMM,0.9732183089366998,0.9027841135549651,0.7530041152263375
135,VAE_GMM,0.9732183089366998,0.9027841135549651,0.7530041152263375
