Exemplar_Size,Method,Task 3
100,EWC_Replay,0.419047619047619
100,EWC_Replay,0.3555555555555555
100,EWC_Replay,0.3605633802816901
100,EWC_Replay,0.2638888888888889
100,EWC_Replay,0.25
100,EWC_Replay,0.48125
100,EWC_Replay,0.2638888888888889
100,EWC_Replay,0.4888888888888887
100,EWC_Replay,0.425
100,EWC_Replay,0.3936507936507936
100,EWC_Replay,0.4
100,EWC_Replay,0.4027777777777778
100,EWC_Replay,0.375
100,EWC_Replay,0.3916666666666666
100,EWC_Replay,0.553125
100,EWC_Replay,0.4338028169014084
100,EWC_Replay,0.5194444444444445
100,EWC_Replay,0.5666666666666667
100,EWC_Replay,0.2972222222222221
100,EWC_Replay,0.3238095238095237
100,EWC_Replay,0.503125
100,EWC_Replay,0.5
100,EWC_Replay,0.3015873015873015
100,EWC_Replay,0.459375
100,EWC_Replay,0.3305555555555556
100,EWC_Replay,0.4857142857142857
100,EWC_Replay,0.3301587301587301
100,EWC_Replay,0.60625
100,EWC_Replay,0.3416666666666666
100,EWC_Replay,0.3809523809523809
142,EWC_Replay,0.4222222222222221
142,EWC_Replay,0.3492063492063492
142,EWC_Replay,0.2788732394366197
142,EWC_Replay,0.3361111111111111
142,EWC_Replay,0.325
142,EWC_Replay,0.3375
142,EWC_Replay,0.3638888888888889
142,EWC_Replay,0.4920634920634921
142,EWC_Replay,0.534375
142,EWC_Replay,0.4063492063492063
142,EWC_Replay,0.3027777777777777
142,EWC_Replay,0.2611111111111111
142,EWC_Replay,0.546875
142,EWC_Replay,0.4138888888888889
142,EWC_Replay,0.4375
142,EWC_Replay,0.5014084507042254
142,EWC_Replay,0.3972222222222222
142,EWC_Replay,0.5416666666666666
142,EWC_Replay,0.3305555555555555
142,EWC_Replay,0.2952380952380952
142,EWC_Replay,0.359375
142,EWC_Replay,0.4083333333333334
142,EWC_Replay,0.3968253968253968
142,EWC_Replay,0.340625
142,EWC_Replay,0.2555555555555555
142,EWC_Replay,0.4730158730158729
142,EWC_Replay,0.3301587301587301
142,EWC_Replay,0.75625
142,EWC_Replay,0.436111111111111
142,EWC_Replay,0.3333333333333333
201,EWC_Replay,0.4412698412698412
201,EWC_Replay,0.3523809523809523
201,EWC_Replay,0.3774647887323943
201,EWC_Replay,0.3444444444444444
201,EWC_Replay,0.3916666666666667
201,EWC_Replay,0.459375
201,EWC_Replay,0.386111111111111
201,EWC_Replay,0.3714285714285714
201,EWC_Replay,0.509375
201,EWC_Replay,0.4825396825396825
201,EWC_Replay,0.4416666666666667
201,EWC_Replay,0.3833333333333333
201,EWC_Replay,0.3625
201,EWC_Replay,0.3972222222222222
201,EWC_Replay,0.534375
201,EWC_Replay,0.3633802816901408
201,EWC_Replay,0.2472222222222222
201,EWC_Replay,0.3888888888888888
201,EWC_Replay,0.2777777777777777
201,EWC_Replay,0.3587301587301587
201,EWC_Replay,0.409375
201,EWC_Replay,0.6027777777777777
201,EWC_Replay,0.3904761904761904
201,EWC_Replay,0.321875
201,EWC_Replay,0.4305555555555555
201,EWC_Replay,0.4761904761904761
201,EWC_Replay,0.3365079365079365
201,EWC_Replay,0.64375
201,EWC_Replay,0.3083333333333333
201,EWC_Replay,0.2349206349206349
285,EWC_Replay,0.3746031746031745
285,EWC_Replay,0.4444444444444443
285,EWC_Replay,0.4309859154929577
285,EWC_Replay,0.4
285,EWC_Replay,0.3472222222222222
285,EWC_Replay,0.49375
285,EWC_Replay,0.3388888888888888
285,EWC_Replay,0.3968253968253967
285,EWC_Replay,0.615625
285,EWC_Replay,0.4888888888888889
285,EWC_Replay,0.4694444444444444
285,EWC_Replay,0.5527777777777778
285,EWC_Replay,0.45625
285,EWC_Replay,0.5249999999999999
285,EWC_Replay,0.534375
285,EWC_Replay,0.5239436619718311
285,EWC_Replay,0.55
285,EWC_Replay,0.475
285,EWC_Replay,0.5027777777777777
285,EWC_Replay,0.3206349206349205
285,EWC_Replay,0.3625
285,EWC_Replay,0.4638888888888888
285,EWC_Replay,0.3714285714285713
285,EWC_Replay,0.378125
