Exemplar_Size,Method,Task 2,Task 3
100,Random,0.9894759790846748,0.9896296296296296
142,Random,0.9931549977259575,0.9933333333333334
201,Random,0.9909151127411996,0.9745925925925927
285,Random,0.9908075150249064,0.9962962962962963
135,Random,0.9906036748210661,0.9904444444444445
100,EWC_Replay,0.9885780777954692,0.9956296296296296
142,EWC_Replay,0.9919922678183547,0.9948148148148148
201,EWC_Replay,0.9905873617670172,0.9844444444444445
285,EWC_Replay,0.9916223428397342,0.9874074074074074
135,EWC_Replay,0.9923119372742015,0.9914814814814814
100,iCaRL,0.5104631847150305,0.7669891067538127
142,iCaRL,0.4683443657906332,0.527917211328976
201,iCaRL,0.48442314589074226,0.5000043572984749
285,iCaRL,0.46619518771938784,0.4345882352941176
135,iCaRL,0.48857656893013746,0.5848976034858387
100,LUCIR,0.7325261528534703,0.7197864923747276
142,LUCIR,0.7031545691094502,0.6940566448801743
201,LUCIR,0.7384911998070325,0.6569106753812637
285,LUCIR,0.7125338661696332,0.6706840958605665
135,LUCIR,0.7345485207142304,0.6638954248366014
100,VAE_BBox,0.9944200038547865,0.9992592592592593
142,VAE_BBox,0.9944200038547865,0.9992592592592593
201,VAE_BBox,0.9944200038547865,0.9992592592592593
285,VAE_BBox,0.9944200038547865,0.9992592592592593
135,VAE_BBox,0.9944200038547865,0.9992592592592593
100,VAE_Filter,0.9930634423243119,1.0
142,VAE_Filter,0.9930634423243119,1.0
201,VAE_Filter,0.9930634423243119,1.0
285,VAE_Filter,0.9930634423243119,1.0
135,VAE_Filter,0.9930634423243119,1.0
100,VAE_GMM,0.9915346961868701,0.9992592592592593
142,VAE_GMM,0.9915346961868701,0.9992592592592593
201,VAE_GMM,0.9915346961868701,0.9992592592592593
285,VAE_GMM,0.9915346961868701,0.9992592592592593
135,VAE_GMM,0.9915346961868701,0.9992592592592593
