Exemplar_Size,Method,Task 2,Task 3
100,Random,0.4350016452683119,0.3042177682168902
140,Random,0.44448980648980646,0.3059398196184851
196,Random,0.4312235764235764,0.2786597759863782
274,Random,0.42937327363994027,0.31692842763518786
135,Random,0.45472526979193645,0.2920509180605756
100,EWC_Replay,0.43741187207853877,0.30647955367885127
140,EWC_Replay,0.4443783081116414,0.3072982342341428
196,EWC_Replay,0.44790340523673855,0.30894301939078056
274,EWC_Replay,0.439860919327586,0.3178356371947241
135,EWC_Replay,0.4520431124431124,0.29244473034200863
100,iCaRL,0.5587141549808216,0.19026823906103968
140,iCaRL,0.6111820327820328,0.22712334262817135
196,iCaRL,0.6049934855268189,0.2296013016996335
274,iCaRL,0.6020947694281028,0.24738087425532546
135,iCaRL,0.6131264389931057,0.2155437923699556
100,LUCIR,0.687001591001591,0.351403129923762
140,LUCIR,0.693612728012728,0.3348687637274116
196,LUCIR,0.6585572106905441,0.34240654802551196
274,LUCIR,0.6606030562030563,0.36943044939972064
135,LUCIR,0.6740464868464869,0.33743960150018093
100,VAE_BBox,0.6150292078292078,0.5678185509089811
140,VAE_BBox,0.6150292078292078,0.5678185509089811
196,VAE_BBox,0.6150292078292078,0.5678185509089811
274,VAE_BBox,0.6150292078292078,0.5678185509089811
135,VAE_BBox,0.6150292078292078,0.5678185509089811
100,VAE_Filter,0.6563569862236529,0.6069691289752747
140,VAE_Filter,0.6563569862236529,0.6069691289752747
196,VAE_Filter,0.6563569862236529,0.6069691289752747
274,VAE_Filter,0.6563569862236529,0.6069691289752747
135,VAE_Filter,0.6563569862236529,0.6069691289752747
100,VAE_GMM,0.6352366645699979,0.5977140906113689
140,VAE_GMM,0.6352366645699979,0.5977140906113689
196,VAE_GMM,0.6352366645699979,0.5977140906113689
274,VAE_GMM,0.6352366645699979,0.5977140906113689
135,VAE_GMM,0.6352366645699979,0.5977140906113689
