Exemplar_Size,Task 2,Task 3,Task 4,Method
100,1.0,0.9666666666666666,1.0,EWC_Replay
100,0.9666666666666666,1.0,1.0,EWC_Replay
100,0.9800000000000001,1.0,1.0,EWC_Replay
100,1.0,1.0,0.9600000000000002,EWC_Replay
100,1.0,0.9636363636363636,0.9800000000000001,EWC_Replay
100,1.0,0.9833333333333332,1.0,EWC_Replay
100,0.9333333333333333,0.9636363636363636,0.9800000000000001,EWC_Replay
100,0.9800000000000001,1.0,0.96,EWC_Replay
100,0.9818181818181818,1.0,1.0,EWC_Replay
100,1.0,0.9166666666666667,0.9866666666666667,EWC_Replay
100,1.0,1.0,0.9818181818181818,EWC_Replay
100,0.9466666666666667,0.9666666666666668,0.9818181818181818,EWC_Replay
100,0.9800000000000001,1.0,1.0,EWC_Replay
100,1.0,1.0,0.9800000000000001,EWC_Replay
100,1.0,0.9333333333333332,0.9733333333333334,EWC_Replay
100,1.0,0.9866666666666667,0.9833333333333332,EWC_Replay
100,0.96,1.0,1.0,EWC_Replay
100,0.9833333333333332,1.0,1.0,EWC_Replay
100,0.9666666666666666,0.96,0.9800000000000001,EWC_Replay
100,0.95,1.0,1.0,EWC_Replay
100,1.0,0.9600000000000002,1.0,EWC_Replay
100,0.9866666666666667,0.95,1.0,EWC_Replay
100,0.9833333333333334,0.9866666666666667,1.0,EWC_Replay
100,1.0,0.95,1.0,EWC_Replay
100,0.9666666666666666,1.0,0.9800000000000001,EWC_Replay
100,1.0,0.9800000000000001,0.96,EWC_Replay
100,1.0,0.9666666666666666,1.0,EWC_Replay
100,1.0,0.95,1.0,EWC_Replay
100,0.9866666666666667,1.0,0.9636363636363636,EWC_Replay
100,1.0,1.0,1.0,EWC_Replay
140,1.0,1.0,1.0,EWC_Replay
140,1.0,1.0,1.0,EWC_Replay
140,0.9800000000000001,1.0,0.9666666666666666,EWC_Replay
140,1.0,1.0,0.9200000000000002,EWC_Replay
140,1.0,0.9636363636363636,0.8400000000000001,EWC_Replay
140,0.9636363636363636,1.0,0.9333333333333332,EWC_Replay
140,1.0,0.9636363636363636,0.9800000000000001,EWC_Replay
140,0.9,0.9454545454545455,0.9866666666666667,EWC_Replay
140,0.9636363636363636,1.0,1.0,EWC_Replay
140,1.0,0.9666666666666668,0.96,EWC_Replay
140,1.0,1.0,1.0,EWC_Replay
140,1.0,1.0,1.0,EWC_Replay
140,0.96,1.0,1.0,EWC_Replay
140,1.0,1.0,0.96,EWC_Replay
140,1.0,1.0,0.9733333333333334,EWC_Replay
140,1.0,0.9866666666666667,0.9833333333333332,EWC_Replay
140,0.9733333333333333,1.0,0.9818181818181818,EWC_Replay
140,1.0,1.0,0.9818181818181818,EWC_Replay
140,0.9833333333333332,1.0,0.9199999999999999,EWC_Replay
140,1.0,0.9400000000000001,1.0,EWC_Replay
140,1.0,0.9,1.0,EWC_Replay
140,0.9733333333333333,1.0,0.890909090909091,EWC_Replay
140,0.9833333333333334,0.9866666666666667,1.0,EWC_Replay
140,1.0,1.0,1.0,EWC_Replay
140,1.0,0.9733333333333334,0.96,EWC_Replay
140,1.0,0.8600000000000001,0.9866666666666667,EWC_Replay
140,1.0,1.0,1.0,EWC_Replay
140,1.0,1.0,1.0,EWC_Replay
140,0.9733333333333333,1.0,0.9818181818181818,EWC_Replay
140,0.9833333333333332,1.0,1.0,EWC_Replay
196,1.0,0.8833333333333332,0.96,EWC_Replay
196,1.0,1.0,1.0,EWC_Replay
196,0.9800000000000001,1.0,0.9833333333333334,EWC_Replay
196,1.0,1.0,0.8800000000000001,EWC_Replay
196,1.0,0.9272727272727274,0.96,EWC_Replay
196,0.9818181818181818,0.9666666666666668,1.0,EWC_Replay
196,1.0,0.9636363636363636,0.8400000000000001,EWC_Replay
196,0.8000000000000002,0.9090909090909092,0.9733333333333333,EWC_Replay
196,0.9454545454545455,1.0,1.0,EWC_Replay
196,1.0,0.95,0.96,EWC_Replay
196,1.0,0.9866666666666667,0.909090909090909,EWC_Replay
196,1.0,1.0,0.9636363636363636,EWC_Replay
196,0.9800000000000001,1.0,1.0,EWC_Replay
196,1.0,0.9666666666666666,0.9800000000000001,EWC_Replay
196,1.0,0.9166666666666666,1.0,EWC_Replay
196,1.0,0.9733333333333333,1.0,EWC_Replay
196,1.0,1.0,0.9818181818181818,EWC_Replay
196,1.0,1.0,0.9636363636363636,EWC_Replay
196,1.0,1.0,0.9800000000000001,EWC_Replay
196,0.9833333333333332,0.82,1.0,EWC_Replay
196,1.0,0.6799999999999999,1.0,EWC_Replay
196,0.96,1.0,0.9636363636363636,EWC_Replay
196,0.9833333333333332,0.9866666666666667,1.0,EWC_Replay
196,1.0,0.8833333333333334,1.0,EWC_Replay
196,0.9666666666666666,1.0,0.9800000000000001,EWC_Replay
196,1.0,0.74,0.9866666666666667,EWC_Replay
196,0.9818181818181818,0.9166666666666666,1.0,EWC_Replay
196,1.0,0.9,1.0,EWC_Replay
196,1.0,1.0,0.8727272727272727,EWC_Replay
196,1.0,1.0,1.0,EWC_Replay
274,1.0,0.95,0.9733333333333333,EWC_Replay
274,1.0,1.0,1.0,EWC_Replay
274,0.9,1.0,1.0,EWC_Replay
274,1.0,0.9833333333333334,0.96,EWC_Replay
274,1.0,1.0,0.82,EWC_Replay
274,1.0,0.9833333333333334,1.0,EWC_Replay
274,1.0,0.9090909090909092,0.78,EWC_Replay
274,0.9600000000000002,0.9454545454545455,0.9733333333333333,EWC_Replay
274,0.9818181818181818,1.0,1.0,EWC_Replay
274,1.0,0.9833333333333332,0.9733333333333333,EWC_Replay
274,1.0,0.96,1.0,EWC_Replay
274,1.0,0.9833333333333332,0.9454545454545455,EWC_Replay
274,0.9800000000000001,1.0,1.0,EWC_Replay
274,1.0,0.9833333333333334,0.8600000000000001,EWC_Replay
274,1.0,0.9666666666666666,1.0,EWC_Replay
274,1.0,0.9866666666666667,1.0,EWC_Replay
274,0.9599999999999997,1.0,1.0,EWC_Replay
274,1.0,1.0,0.9818181818181818,EWC_Replay
274,1.0,1.0,0.9,EWC_Replay
274,1.0,0.8800000000000001,1.0,EWC_Replay
274,1.0,0.96,1.0,EWC_Replay
274,0.9866666666666667,1.0,1.0,EWC_Replay
274,0.9833333333333332,0.9733333333333333,1.0,EWC_Replay
274,1.0,0.9833333333333332,1.0,EWC_Replay
274,1.0,1.0,0.9400000000000001,EWC_Replay
274,1.0,0.8400000000000001,0.9599999999999997,EWC_Replay
274,1.0,0.9666666666666666,1.0,EWC_Replay
274,1.0,1.0,1.0,EWC_Replay
274,0.9733333333333333,1.0,0.9454545454545455,EWC_Replay
274,1.0,1.0,1.0,EWC_Replay
175,1.0,0.95,0.96,EWC_Replay
175,0.95,0.9733333333333334,1.0,EWC_Replay
175,1.0,1.0,0.9666666666666666,EWC_Replay
175,1.0,1.0,0.6000000000000001,EWC_Replay
175,1.0,0.9818181818181818,0.5800000000000001,EWC_Replay
175,1.0,0.9666666666666666,1.0,EWC_Replay
175,0.9733333333333334,0.9636363636363636,0.8600000000000001,EWC_Replay
175,0.9,0.9636363636363636,0.9466666666666665,EWC_Replay
175,0.9636363636363636,1.0,1.0,EWC_Replay
175,1.0,1.0,0.9733333333333333,EWC_Replay
175,1.0,0.96,0.9454545454545455,EWC_Replay
175,0.9733333333333334,0.9833333333333334,0.9636363636363636,EWC_Replay
175,0.9200000000000002,1.0,1.0,EWC_Replay
175,1.0,0.9833333333333332,0.66,EWC_Replay
175,1.0,0.9833333333333332,1.0,EWC_Replay
175,1.0,0.9866666666666667,0.9666666666666668,EWC_Replay
175,0.9733333333333333,1.0,0.9636363636363636,EWC_Replay
175,1.0,1.0,0.9090909090909092,EWC_Replay
175,1.0,0.8933333333333333,0.7000000000000001,EWC_Replay
175,1.0,0.9,1.0,EWC_Replay
175,1.0,0.86,1.0,EWC_Replay
175,0.9466666666666665,1.0,0.9090909090909092,EWC_Replay
175,1.0,0.96,1.0,EWC_Replay
175,1.0,1.0,0.9333333333333332,EWC_Replay
175,0.9666666666666666,1.0,0.8200000000000001,EWC_Replay
175,1.0,0.8400000000000001,0.9733333333333333,EWC_Replay
175,0.9818181818181818,1.0,1.0,EWC_Replay
175,1.0,1.0,1.0,EWC_Replay
175,0.9466666666666667,1.0,0.890909090909091,EWC_Replay
175,1.0,0.9333333333333333,1.0,EWC_Replay
100,1.0,1.0,0.9733333333333333,Random
100,0.9666666666666666,1.0,1.0,Random
100,0.9600000000000002,1.0,0.95,Random
100,1.0,0.9666666666666666,0.9800000000000001,Random
100,1.0,1.0,0.9200000000000002,Random
100,1.0,1.0,1.0,Random
100,1.0,0.9636363636363636,0.9600000000000002,Random
100,0.9,1.0,0.9733333333333333,Random
100,0.9818181818181818,1.0,1.0,Random
100,1.0,0.9666666666666666,0.9866666666666667,Random
100,1.0,0.9599999999999997,0.9818181818181818,Random
100,0.8800000000000001,0.9,0.9636363636363636,Random
100,0.96,1.0,0.9733333333333334,Random
100,1.0,0.9833333333333332,0.9199999999999999,Random
100,1.0,0.9666666666666666,1.0,Random
100,1.0,0.9466666666666667,0.95,Random
100,0.9733333333333333,1.0,0.9636363636363636,Random
100,0.9833333333333332,1.0,0.9636363636363636,Random
100,1.0,0.9600000000000002,0.9800000000000001,Random
100,0.9833333333333332,0.9400000000000001,1.0,Random
100,1.0,0.96,0.9733333333333334,Random
100,0.9866666666666667,0.9833333333333332,1.0,Random
100,0.9666666666666666,0.9599999999999997,1.0,Random
100,0.9818181818181818,0.9833333333333332,1.0,Random
100,0.9333333333333333,1.0,0.9800000000000001,Random
100,1.0,0.9400000000000001,0.9866666666666667,Random
100,1.0,1.0,1.0,Random
100,1.0,0.9,1.0,Random
100,0.9866666666666667,1.0,0.9818181818181818,Random
100,1.0,1.0,1.0,Random
140,1.0,0.9833333333333332,1.0,Random
140,0.9833333333333332,1.0,1.0,Random
140,1.0,1.0,0.9833333333333332,Random
140,1.0,1.0,0.9400000000000001,Random
140,1.0,0.890909090909091,0.9200000000000002,Random
140,0.9818181818181818,0.9833333333333332,0.9866666666666667,Random
140,1.0,0.9636363636363636,0.9400000000000001,Random
140,0.8400000000000002,0.9272727272727274,1.0,Random
140,0.9636363636363636,1.0,1.0,Random
140,1.0,0.9833333333333334,0.9733333333333333,Random
140,1.0,0.96,0.9818181818181818,Random
140,1.0,0.9833333333333334,0.9818181818181818,Random
140,0.8400000000000002,1.0,1.0,Random
140,1.0,0.9666666666666666,0.8600000000000001,Random
140,1.0,1.0,1.0,Random
140,1.0,0.9733333333333333,1.0,Random
140,0.9866666666666667,1.0,1.0,Random
140,1.0,1.0,1.0,Random
140,0.95,0.9733333333333334,0.9600000000000002,Random
140,0.9833333333333334,0.9400000000000001,1.0,Random
140,1.0,0.96,1.0,Random
140,0.9599999999999997,1.0,0.9636363636363636,Random
140,1.0,0.9733333333333333,1.0,Random
140,0.9818181818181818,1.0,0.9733333333333334,Random
140,0.95,0.9866666666666667,0.96,Random
140,1.0,0.9199999999999999,0.9733333333333333,Random
140,1.0,1.0,1.0,Random
140,1.0,1.0,0.9866666666666667,Random
140,0.96,1.0,0.9636363636363636,Random
140,1.0,0.9333333333333332,1.0,Random
196,1.0,0.9833333333333332,1.0,Random
196,0.9833333333333332,0.9333333333333332,1.0,Random
196,0.9400000000000001,1.0,1.0,Random
196,1.0,1.0,0.9,Random
196,1.0,0.9454545454545455,0.8800000000000001,Random
196,1.0,0.9333333333333332,1.0,Random
196,1.0,0.9818181818181818,0.9,Random
196,0.68,0.9454545454545455,0.96,Random
196,0.9090909090909092,1.0,0.9733333333333334,Random
196,1.0,0.9333333333333332,0.9733333333333333,Random
196,1.0,0.9733333333333333,0.9454545454545455,Random
196,1.0,1.0,0.9818181818181818,Random
196,0.9400000000000001,1.0,1.0,Random
196,1.0,0.9666666666666666,0.86,Random
196,1.0,0.7833333333333333,1.0,Random
196,0.9818181818181818,0.9466666666666665,1.0,Random
