Exemplar_Size,Method,Task 2
100,Random,0.5289294515102554
142,Random,0.506694673515018
201,Random,0.546951868768932
285,Random,0.5402125123429471
95,Random,0.4963579620552549
100,EWC_Replay,0.5541212450318275
142,EWC_Replay,0.5186208301351861
201,EWC_Replay,0.580373718444268
285,EWC_Replay,0.5664360071693952
95,EWC_Replay,0.4872392272416882
100,iCaRL,0.5365269721315661
142,iCaRL,0.5850878664160042
201,iCaRL,0.5477125867970823
285,iCaRL,0.5547018436780536
95,iCaRL,0.5676448659434713
100,LUCIR,0.7009704364027579
142,LUCIR,0.6974185995867702
201,LUCIR,0.7054458062251335
285,LUCIR,0.7202960097307923
95,LUCIR,0.6975716129817852
100,VAE_BBox,0.7220966305896577
142,VAE_BBox,0.7220966305896577
201,VAE_BBox,0.7220966305896577
285,VAE_BBox,0.7220966305896577
95,VAE_BBox,0.7220966305896577
100,VAE_Filter,0.7161497942228049
142,VAE_Filter,0.7161497942228049
201,VAE_Filter,0.7161497942228049
285,VAE_Filter,0.7161497942228049
95,VAE_Filter,0.7161497942228049
100,VAE_GMM,0.7676855771425092
142,VAE_GMM,0.7676855771425092
201,VAE_GMM,0.7676855771425092
285,VAE_GMM,0.7676855771425092
95,VAE_GMM,0.7676855771425092
