Exemplar_Size,Method,Task 1,Task 2
100,Random,0.9755869987150144,0.5852136752136752
140,Random,0.9797213023588103,0.5742735042735043
196,Random,0.9777330881646993,0.6001709401709402
274,Random,0.9751362277618922,0.5736752136752137
95,Random,0.9794959127624587,0.5950427350427351
100,EWC_Replay,0.9787456163012563,0.5743589743589743
140,EWC_Replay,0.9782476296817527,0.5789743589743589
196,EWC_Replay,0.9761220563856962,0.6074358974358974
274,EWC_Replay,0.9792104845083844,0.5827350427350427
95,EWC_Replay,0.9756082182756783,0.5803418803418803
100,iCaRL,0.986913606585404,0.3348717948717948
140,iCaRL,0.9873731519241772,0.34213675213675204
196,iCaRL,0.9864552213125583,0.3244444444444444
274,iCaRL,0.9868504306135155,0.3065811965811965
95,iCaRL,0.9871078753920626,0.3429059829059829
100,LUCIR,0.9607078905008252,0.5615384615384615
140,LUCIR,0.9738945746392297,0.5975213675213674
196,LUCIR,0.9707761078401449,0.601111111111111
274,LUCIR,0.960105508289894,0.535042735042735
95,LUCIR,0.9598234887309599,0.5695726495726495
100,VAE_BBox,0.9785625576807159,0.7939316239316239
140,VAE_BBox,0.9785625576807159,0.7939316239316239
196,VAE_BBox,0.9785625576807159,0.7939316239316239
274,VAE_BBox,0.9785625576807159,0.7939316239316239
95,VAE_BBox,0.9785625576807159,0.7939316239316239
100,VAE_Filter,0.9748479672786146,0.8185470085470086
140,VAE_Filter,0.9748479672786146,0.8185470085470086
196,VAE_Filter,0.9748479672786146,0.8185470085470086
274,VAE_Filter,0.9748479672786146,0.8185470085470086
95,VAE_Filter,0.9748479672786146,0.8185470085470086
100,VAE_GMM,0.9791350781595685,0.8718803418803419
140,VAE_GMM,0.9791350781595685,0.8718803418803419
196,VAE_GMM,0.9791350781595685,0.8718803418803419
274,VAE_GMM,0.9791350781595685,0.8718803418803419
95,VAE_GMM,0.9791350781595685,0.8718803418803419
